Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,player_id,gamelog_url
1987-88,31.0,BOS,NBA,SF,17.0,17.0,763.0,20.2,0.538,0.095,0.334,4.7,19.0,11.9,26.1,2.5,1.1,11.2,25.9,1.2,1.2,2.4,0.151,5.2,1.5,6.7,1.7,,birdla01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,birdla01,
1989-90,33.0,BOS,NBA,SF,5.0,5.0,207.0,20.7,0.539,0.192,0.323,4.4,21.7,13.6,28.8,1.2,1.4,13.7,26.7,0.4,0.0,0.4,0.103,4.3,-0.5,3.7,0.3,,birdla01,
1990-91,34.0,BOS,NBA,SF,10.0,10.0,396.0,15.8,0.49,0.138,0.336,2.4,17.6,10.4,23.7,1.7,0.5,9.8,21.4,0.3,0.4,0.6,0.078,1.4,0.2,1.6,0.4,,birdla01,
1991-92,35.0,BOS,NBA,SF,4.0,2.0,107.0,16.4,0.514,0.119,0.095,2.2,19.6,10.4,27.8,0.5,1.3,12.1,20.6,0.1,0.1,0.2,0.069,1.7,0.4,2.2,0.1,,birdla01,
2009-10,23.0,UTA,NBA,C,10.0,9.0,181.0,3.0,0.42,0.0,0.7,5.1,20.3,12.7,9.2,0.0,2.2,26.3,13.1,-0.3,0.0,-0.3,-0.085,-6.2,0.1,-6.2,-0.2,,fesenky01,
1949-50,24.0,PHW,NBA,SG,2.0,,,,0.375,,0.205,,,,,,,,,-0.1,0.1,0.0,,,,,,,gardnve01,
1950-51,25.0,PHW,NBA,SG,2.0,,,,0.59,,0.375,,,,,,,,,0.1,0.0,0.1,,,,,,,gardnve01,
1951-52,26.0,PHW,NBA,SG,3.0,,77.0,11.2,0.503,,0.579,,,,8.1,,,,,0.1,0.0,0.1,0.037,,,,,,gardnve01,
2017-18,19.0,BOS,NBA,SF,19.0,19.0,683.0,16.2,0.578,0.272,0.372,1.6,12.6,7.0,13.3,1.7,1.3,11.9,23.3,0.8,0.8,1.6,0.116,0.0,1.5,1.5,0.6,,tatumja01,
2018-19,20.0,BOS,NBA,SF,9.0,9.0,295.0,13.5,0.53,0.277,0.348,2.5,17.6,10.4,10.0,1.6,2.2,12.2,22.0,0.0,0.5,0.5,0.075,-0.5,1.6,1.0,0.2,,tatumja01,
2019-20,21.0,BOS,NBA,PF,17.0,17.0,690.0,20.7,0.563,0.377,0.368,3.7,23.1,13.8,21.3,1.2,2.9,11.0,28.2,1.1,1.3,2.3,0.163,4.5,1.8,6.3,1.4,,tatumja01,
2020-21,22.0,BOS,NBA,SF,5.0,5.0,185.0,24.1,0.577,0.324,0.441,1.8,17.2,9.1,22.8,1.6,4.1,8.9,33.3,0.5,-0.1,0.4,0.114,5.7,0.7,6.5,0.4,,tatumja01,
2021-22,23.0,BOS,NBA,SF,24.0,24.0,983.0,17.6,0.562,0.415,0.36,2.8,15.2,9.2,26.9,1.5,2.0,15.5,29.6,0.8,1.5,2.2,0.11,3.1,1.4,4.5,1.6,,tatumja01,
