Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,player_id,gamelog_url
1970-71,24.0,FLO,ABA,SG,1.0,,2.0,-90.5,0.0,0.0,0.0,,,,0.0,,,66.7,,0.0,0.0,0.0,-0.562,,,,,,nelsoro01,
1973-74,21.0,NYA,ABA,PF,14.0,,470.0,17.1,0.508,0.0,0.152,14.3,19.6,17.0,7.3,1.5,0.2,14.9,21.9,0.5,1.0,1.5,0.153,2.7,-2.2,0.5,0.3,,kenonla01,
1974-75,22.0,NYA,ABA,PF,5.0,,199.0,17.7,0.56,0.0,0.193,10.3,22.8,16.4,3.9,2.4,0.0,16.6,23.6,0.1,0.3,0.4,0.096,-0.2,-1.1,-1.3,0.0,,kenonla01,
1975-76,23.0,SAA,ABA,PF,7.0,,277.0,15.5,0.52,0.023,0.229,10.8,16.5,13.8,9.2,0.8,0.8,18.6,25.2,0.0,0.3,0.4,0.066,1.3,-2.3,-0.9,0.1,,kenonla01,
1976-77,24.0,SAS,NBA,PF,2.0,,79.0,13.7,0.502,,0.061,3.6,18.0,10.0,11.7,2.8,0.7,,,0.0,0.1,0.1,0.086,-0.4,1.5,1.1,0.1,,kenonla01,
1977-78,25.0,SAS,NBA,SF,6.0,,200.0,16.3,0.476,,0.184,8.6,19.9,14.4,15.2,1.2,0.5,14.6,26.2,0.1,0.2,0.2,0.054,-0.7,-1.5,-2.2,0.0,,kenonla01,
1978-79,26.0,SAS,NBA,PF,14.0,,557.0,17.4,0.468,,0.182,10.1,18.5,14.3,11.0,1.6,0.1,9.5,24.3,0.6,0.5,1.1,0.095,1.7,-1.5,0.2,0.3,,kenonla01,
1979-80,27.0,SAS,NBA,PF,3.0,,81.0,3.5,0.335,0.0,0.324,7.7,9.8,8.7,6.9,0.0,0.0,11.4,22.9,-0.2,-0.1,-0.3,-0.178,-7.6,-4.6,-12.2,-0.2,,kenonla01,
1980-81,28.0,CHI,NBA,SF,6.0,,114.0,15.5,0.404,0.022,0.174,16.1,10.7,13.6,10.2,1.7,0.5,2.0,18.6,0.2,0.0,0.2,0.086,2.9,-1.2,1.8,0.1,,kenonla01,
1978-79,24.0,POR,NBA,C,3.0,,121.0,17.7,0.505,,0.185,7.7,20.5,13.8,8.3,0.8,2.5,7.9,21.6,0.2,0.2,0.3,0.127,2.4,-1.5,0.9,0.1,,thompmy01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thompmy01,
1980-81,26.0,POR,NBA,C,3.0,,132.0,22.5,0.636,0.0,0.353,4.2,16.3,10.0,4.8,1.1,4.0,10.6,21.4,0.4,0.2,0.6,0.204,2.7,1.3,4.0,0.2,,thompmy01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thompmy01,
1982-83,28.0,POR,NBA,PF,7.0,,284.0,12.5,0.516,0.0,0.447,6.2,16.0,11.0,18.9,1.0,1.6,21.6,19.2,0.0,0.2,0.2,0.034,0.2,1.0,1.2,0.2,,thompmy01,
1983-84,29.0,POR,NBA,C,4.0,,121.0,21.5,0.568,0.0,0.5,7.8,22.8,14.3,18.9,2.0,1.5,10.1,20.6,0.3,0.1,0.4,0.16,3.3,2.1,5.4,0.2,,thompmy01,
1984-85,30.0,POR,NBA,PF,9.0,0.0,250.0,16.3,0.538,0.0,0.48,10.3,21.2,15.5,7.4,1.3,2.8,13.3,22.2,0.2,0.1,0.4,0.072,0.2,-0.6,-0.4,0.1,,thompmy01,
1985-86,31.0,POR,NBA,C,4.0,4.0,140.0,16.3,0.581,0.0,0.481,9.1,15.3,12.5,14.6,0.3,1.1,13.3,21.5,0.2,0.1,0.3,0.091,2.0,-0.9,1.2,0.1,,thompmy01,
1986-87,32.0,LAL,NBA,PF,18.0,0.0,401.0,11.1,0.497,0.0,0.365,9.0,15.0,12.3,2.9,0.8,2.3,9.1,18.0,0.1,0.6,0.7,0.085,-2.3,-1.0,-3.4,-0.1,,thompmy01,
1987-88,33.0,LAL,NBA,C,24.0,0.0,615.0,13.8,0.531,0.0,0.325,12.6,19.7,16.3,2.8,1.4,2.1,13.1,18.2,0.3,0.8,1.1,0.086,-1.1,-0.9,-2.0,0.0,,thompmy01,
1988-89,34.0,LAL,NBA,C,15.0,0.0,377.0,14.9,0.554,0.0,0.469,12.8,10.8,11.8,4.4,0.8,1.9,8.3,19.4,0.7,0.3,1.0,0.127,0.2,-1.0,-0.8,0.1,,thompmy01,
1989-90,35.0,LAL,NBA,C,9.0,8.0,225.0,7.0,0.523,0.0,0.591,8.3,12.2,10.3,1.2,0.5,3.6,23.5,14.2,-0.2,0.2,0.0,0.0,-3.9,-1.2,-5.1,-0.2,,thompmy01,
1990-91,36.0,LAL,NBA,C,8.0,0.0,42.0,1.3,0.286,0.0,0.0,8.9,17.2,13.1,0.0,0.0,4.6,12.5,8.6,-0.1,0.0,0.0,-0.01,-7.7,0.2,-7.5,-0.1,,thompmy01,
2014-15,23.0,CLE,NBA,PF,20.0,15.0,727.0,15.4,0.582,0.0,0.636,13.5,19.1,16.3,2.0,0.4,2.8,8.3,11.2,1.7,0.9,2.5,0.167,0.9,-0.6,0.2,0.4,,thomptr01,
2015-16,24.0,CLE,NBA,PF,21.0,21.0,622.0,14.2,0.559,0.0,0.785,16.6,19.1,17.8,3.4,0.7,2.8,12.0,10.6,1.4,0.6,2.0,0.155,0.0,-1.1,-1.1,0.1,,thomptr01,
2016-17,25.0,CLE,NBA,C,18.0,18.0,562.0,14.5,0.625,0.0,0.652,15.1,16.0,15.5,6.1,0.8,1.9,15.1,11.1,1.3,0.4,1.8,0.15,0.7,-0.9,-0.1,0.3,,thomptr01,
2017-18,26.0,CLE,NBA,C,19.0,11.0,416.0,15.0,0.622,0.012,0.325,12.3,19.9,16.0,4.1,0.3,1.8,10.4,11.8,0.9,0.2,1.2,0.135,1.0,-1.2,-0.2,0.2,,thomptr01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thomptr01,
2020-21,29.0,BOS,NBA,C,5.0,5.0,132.0,22.6,0.627,0.0,0.5,24.1,18.6,21.5,5.8,1.5,4.3,10.8,14.9,0.4,0.0,0.4,0.14,2.3,-0.9,1.4,0.1,,thomptr01,
2021-22,30.0,CHI,NBA,C,5.0,0.0,38.0,-0.6,0.4,0.0,0.0,4.9,17.2,10.5,7.5,1.3,0.0,50.0,11.5,-0.1,0.0,-0.1,-0.115,-9.8,-0.1,-9.9,-0.1,,thomptr01,
2022-23,31.0,LAL,NBA,C,6.0,0.0,32.0,10.3,0.417,0.0,0.455,14.1,18.8,16.6,9.0,0.0,0.0,7.0,19.5,0.0,0.0,0.0,0.003,-3.8,-3.0,-6.8,0.0,,thomptr01,
2023-24,32.0,CLE,NBA,C,10.0,0.0,87.0,12.5,0.444,0.0,0.125,13.4,13.1,13.2,16.4,0.6,5.8,10.6,10.1,0.1,0.1,0.2,0.106,-1.4,1.9,0.5,0.1,,thomptr01,
2024-25,33.0,CLE,NBA,C,3.0,0.0,29.0,13.5,0.478,0.0,0.5,7.6,52.9,29.4,4.6,1.7,7.0,21.5,13.8,0.0,0.1,0.0,0.068,-3.3,2.5,-0.9,0.0,,thomptr01,
1993-94,23.0,DEN,NBA,SG,12.0,12.0,413.0,13.9,0.53,0.01,0.588,6.6,8.9,7.8,11.3,1.5,0.3,9.8,15.9,0.8,0.2,1.0,0.115,0.4,0.8,1.1,0.3,,stithbr01,
1994-95,24.0,DEN,NBA,SG,3.0,1.0,85.0,22.4,0.619,0.188,0.594,4.0,9.1,6.4,16.7,0.6,0.9,0.0,21.2,0.4,0.0,0.4,0.202,6.5,-0.1,6.4,0.2,,stithbr01,
2003-04,23.0,HOU,NBA,C,5.0,5.0,185.0,14.9,0.497,0.0,0.25,7.3,15.4,11.6,10.1,0.6,2.8,14.7,23.2,0.1,0.2,0.3,0.07,-0.7,0.8,0.1,0.1,,mingya01,
2004-05,24.0,HOU,NBA,C,7.0,7.0,220.0,29.0,0.693,0.0,0.655,13.0,16.7,14.9,4.7,0.5,7.0,14.9,27.5,0.9,0.1,1.0,0.222,4.5,1.1,5.6,0.4,,mingya01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mingya01,
2006-07,26.0,HOU,NBA,C,7.0,7.0,260.0,19.9,0.557,0.0,0.6,10.5,21.4,16.0,5.7,0.2,1.4,17.3,35.7,0.2,0.3,0.5,0.1,0.2,-1.1,-0.8,0.1,,mingya01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mingya01,
2008-09,28.0,HOU,NBA,C,9.0,9.0,323.0,21.5,0.634,0.0,0.515,7.2,28.1,18.0,5.1,0.7,2.6,12.3,20.6,0.9,0.5,1.4,0.206,2.2,1.6,3.8,0.5,,mingya01,
1979-80,23.0,PHI,NBA,SG,3.0,,3.0,4.0,0.333,0.667,0.0,0.0,0.0,0.0,0.0,16.1,0.0,25.0,56.3,0.0,0.0,0.0,-0.515,-13.2,2.4,-10.9,0.0,,richacl01,
1980-81,24.0,PHI,NBA,SG,13.0,,181.0,10.1,0.539,0.0,0.447,5.9,7.1,6.6,9.2,1.6,0.9,15.0,12.4,0.1,0.1,0.2,0.06,0.7,0.0,0.7,0.1,,richacl01,
1981-82,25.0,PHI,NBA,SG,21.0,,415.0,9.9,0.474,0.0,0.288,8.1,10.5,9.3,12.8,1.5,0.7,15.2,13.9,0.1,0.4,0.5,0.058,-0.4,0.0,-0.4,0.2,,richacl01,
1982-83,26.0,PHI,NBA,SG,13.0,,319.0,9.6,0.486,0.0,0.205,5.0,8.5,6.8,9.6,2.3,0.5,13.4,13.6,0.2,0.4,0.6,0.092,-0.5,0.8,0.3,0.2,,richacl01,
1983-84,27.0,PHI,NBA,SG,5.0,,115.0,12.5,0.654,0.0,0.522,4.2,12.2,8.3,12.4,1.2,0.5,12.4,11.6,0.2,0.1,0.4,0.162,0.2,0.8,1.0,0.1,,richacl01,
1984-85,28.0,PHI,NBA,SG,13.0,0.0,281.0,14.2,0.584,0.0,0.106,5.6,9.5,7.6,14.3,1.7,0.4,14.7,16.9,0.4,0.4,0.7,0.123,1.0,1.4,2.4,0.3,,richacl01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,richacl01,
1986-87,30.0,IND,NBA,SG,4.0,0.0,73.0,5.9,0.581,0.083,0.333,5.1,11.7,8.4,17.6,0.0,0.0,26.7,12.0,0.0,0.1,0.1,0.049,-3.6,-0.4,-3.9,0.0,,richacl01,
1991-92,22.0,BOS,NBA,SF,8.0,0.0,67.0,14.0,0.586,0.261,0.174,5.2,5.9,5.5,8.1,1.6,2.1,7.5,17.7,0.1,0.0,0.2,0.124,0.9,1.4,2.4,0.1,,foxri01,
1992-93,23.0,BOS,NBA,SF,4.0,0.0,71.0,7.7,0.328,0.12,0.08,14.3,19.7,17.0,9.5,1.5,0.9,13.4,19.0,-0.1,0.1,-0.1,-0.042,-3.9,-2.0,-5.9,-0.1,,foxri01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,foxri01,
1997-98,28.0,LAL,NBA,SF,13.0,13.0,428.0,13.9,0.572,0.465,0.202,5.0,11.5,8.2,19.1,1.4,0.5,14.5,15.7,0.9,0.0,0.8,0.094,1.4,-0.2,1.2,0.3,,foxri01,
1998-99,29.0,LAL,NBA,SF,8.0,1.0,181.0,7.2,0.438,0.35,0.017,5.4,8.8,7.0,11.0,1.2,2.2,18.8,18.7,-0.2,0.0,-0.2,-0.052,-3.3,-1.4,-4.7,-0.1,,foxri01,
1999-00,30.0,LAL,NBA,SF,23.0,0.0,331.0,10.3,0.608,0.534,0.288,3.7,9.6,6.6,12.5,1.4,0.0,16.3,13.4,0.6,0.1,0.7,0.095,-2.2,0.9,-1.2,0.1,,foxri01,
2000-01,31.0,LAL,NBA,SF,16.0,16.0,573.0,12.2,0.563,0.442,0.233,2.5,12.2,7.5,14.4,2.8,0.9,20.2,13.7,0.5,1.1,1.6,0.132,-0.2,1.7,1.5,0.5,,foxri01,
2001-02,32.0,LAL,NBA,SF,19.0,19.0,652.0,12.0,0.579,0.309,0.353,4.2,12.7,8.6,15.4,1.7,0.7,21.9,14.3,0.7,0.7,1.3,0.099,-0.3,1.7,1.4,0.6,,foxri01,
2002-03,33.0,LAL,NBA,SF,4.0,4.0,79.0,8.9,0.607,0.556,0.222,2.8,6.0,4.3,13.2,0.7,0.9,16.8,13.4,0.1,0.0,0.1,0.083,-1.9,-0.9,-2.8,0.0,,foxri01,
2003-04,34.0,LAL,NBA,SF,16.0,3.0,145.0,6.5,0.431,0.35,0.1,4.8,13.7,9.2,19.8,1.1,1.1,30.1,10.0,0.0,0.1,0.1,0.022,-4.1,1.2,-3.0,0.0,,foxri01,
1971-72,22.0,INA,ABA,PF,20.0,,327.0,14.3,0.566,0.021,0.347,,,16.1,4.0,,,15.4,16.0,0.5,0.5,1.0,0.15,,,,,,hillmda01,
1972-73,23.0,INA,ABA,PF,18.0,,485.0,8.5,0.455,0.0,0.347,,,13.2,4.9,,,19.9,12.1,-0.1,0.8,0.7,0.072,,,,,,hillmda01,
1973-74,24.0,INA,ABA,PF,14.0,,352.0,14.5,0.556,0.012,0.541,10.5,18.5,14.4,5.2,0.9,2.6,16.0,15.4,0.4,0.3,0.7,0.094,-1.0,-0.1,-1.1,0.1,,hillmda01,
1974-75,25.0,INA,ABA,C,17.0,,482.0,14.0,0.537,0.0,0.349,8.2,18.5,13.4,4.0,1.0,3.3,12.5,16.1,0.5,0.7,1.2,0.115,-0.1,0.2,0.1,0.3,,hillmda01,
1975-76,26.0,INA,ABA,PF,3.0,,111.0,14.6,0.476,0.0,0.359,12.0,15.0,13.5,12.7,2.6,2.3,18.1,20.4,0.0,0.2,0.2,0.082,-0.9,0.9,0.0,0.1,,hillmda01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hillmda01,
1977-78,28.0,DEN,NBA,PF,13.0,,260.0,7.8,0.426,,0.19,10.0,21.0,15.6,8.7,1.0,1.4,21.9,15.9,-0.2,0.2,0.0,-0.006,-5.4,0.0,-5.4,-0.2,,hillmda01,
1978-79,29.0,KCK,NBA,PF,5.0,,112.0,8.3,0.367,,0.531,15.6,14.5,15.1,10.1,1.6,1.5,20.2,16.6,-0.2,0.2,0.0,0.0,-2.7,-1.4,-4.1,-0.1,,hillmda01,
2024-25,23.0,LAL,NBA,SF,2.0,0.0,4.0,45.2,0.5,0.8,0.0,59.4,28.3,43.5,0.0,0.0,0.0,0.0,58.4,0.0,0.0,0.0,0.206,27.4,-9.2,18.2,0.0,,knechda01,
1962-63,23.0,STL,NBA,C,11.0,,307.0,11.4,0.501,,0.371,,,,4.8,,,,,0.3,0.4,0.7,0.107,,,,,,beatyze01,
1963-64,24.0,STL,NBA,C,12.0,,436.0,13.8,0.555,,0.636,,,,4.0,,,,,1.0,0.2,1.2,0.131,,,,,,beatyze01,
1964-65,25.0,STL,NBA,C,4.0,,154.0,17.6,0.55,,0.424,,,,1.0,,,,,0.4,0.2,0.6,0.194,,,,,,beatyze01,
1965-66,26.0,STL,NBA,C,10.0,,418.0,16.1,0.547,,0.392,,,,7.3,,,,,0.8,0.3,1.1,0.131,,,,,,beatyze01,
1966-67,27.0,STL,NBA,C,9.0,,318.0,15.1,0.539,,0.625,,,,5.5,,,,,0.7,0.3,1.0,0.147,,,,,,beatyze01,
1967-68,28.0,STL,NBA,C,6.0,,239.0,18.9,0.555,,0.598,,,,9.5,,,,,0.6,0.2,0.8,0.167,,,,,,beatyze01,
1968-69,29.0,ATL,NBA,C,11.0,,473.0,17.3,0.468,,0.271,,,,8.4,,,,,0.4,0.7,1.1,0.108,,,,,,beatyze01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beatyze01,
1970-71,31.0,UTS,ABA,C,18.0,,698.0,26.7,0.602,0.0,0.42,,,,8.2,,,7.5,,2.4,0.9,3.3,0.228,,,,,ABA Playoffs-1,beatyze01,
1971-72,32.0,UTS,ABA,C,11.0,,443.0,21.8,0.64,0.0,0.657,,,16.9,7.5,,,15.2,19.3,1.6,0.2,1.7,0.187,,,,,,beatyze01,
1972-73,33.0,UTS,ABA,PF,10.0,,387.0,18.4,0.622,0.0,0.495,,,14.3,5.1,,,16.4,15.9,1.1,0.3,1.5,0.181,,,,,,beatyze01,
1973-74,34.0,UTS,ABA,PF,13.0,,472.0,17.4,0.546,0.0,0.252,9.0,19.8,14.6,6.1,1.9,1.4,12.8,17.9,0.7,0.8,1.6,0.159,1.5,0.5,2.0,0.5,,beatyze01,
2020-21,21.0,MIA,NBA,PF,3.0,0.0,12.0,8.1,0.608,0.0,1.0,0.0,50.8,24.3,0.0,0.0,15.2,41.0,35.7,-0.1,0.0,-0.1,-0.309,-11.3,2.8,-8.5,0.0,,achiupr01,
2021-22,22.0,TOR,NBA,C,6.0,1.0,167.0,10.9,0.541,0.308,0.192,5.4,17.1,10.7,5.7,0.3,3.3,13.8,18.2,0.0,0.0,0.0,-0.014,-2.4,-1.0,-3.3,-0.1,,achiupr01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,achiupr01,
2023-24,24.0,NYK,NBA,PF,9.0,2.0,184.0,12.4,0.482,0.07,0.302,13.5,10.6,12.1,3.8,1.1,6.0,7.6,12.6,0.1,0.1,0.2,0.053,-3.4,-0.1,-3.5,-0.1,,achiupr01,
2024-25,25.0,NYK,NBA,C,8.0,0.0,34.0,11.2,0.444,0.071,0.286,10.0,20.9,15.3,0.0,1.5,0.0,6.0,21.4,0.0,0.0,0.0,0.008,-3.0,-1.7,-4.7,0.0,,achiupr01,
1998-99,23.0,PHO,NBA,SG,1.0,0.0,1.0,93.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2,0.0,0.0,0.0,1.525,39.2,8.3,47.5,0.0,,brownge02,
2018-19,21.0,BOS,NBA,C,3.0,0.0,13.0,17.1,0.694,0.0,1.0,8.2,45.1,27.5,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.1,0.253,2.5,0.1,2.6,0.0,,williro04,
2019-20,22.0,BOS,NBA,C,13.0,0.0,149.0,19.8,0.713,0.032,0.194,17.3,21.0,19.2,10.6,1.0,4.0,17.2,12.2,0.4,0.3,0.7,0.221,1.7,1.6,3.3,0.2,,williro04,
2020-21,23.0,BOS,NBA,C,3.0,0.0,46.0,27.2,0.638,0.0,0.143,19.1,18.6,18.9,7.2,1.1,18.5,6.3,14.6,0.1,0.0,0.2,0.18,3.1,4.8,7.9,0.1,,williro04,
2021-22,24.0,BOS,NBA,C,17.0,15.0,394.0,21.7,0.725,0.013,0.359,12.7,17.1,15.0,6.8,1.5,8.8,10.0,11.5,1.3,0.8,2.1,0.254,2.2,3.8,5.9,0.8,,williro04,
2022-23,25.0,BOS,NBA,C,20.0,4.0,417.0,19.6,0.786,0.012,0.329,10.2,22.2,16.3,6.6,1.1,5.3,14.1,12.3,1.2,0.6,1.8,0.208,0.6,2.7,3.4,0.6,,williro04,
1996-97,22.0,NYK,NBA,PF,2.0,0.0,4.0,58.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,0.0,24.3,0.0,0.0,0.0,0.567,24.2,19.2,43.4,0.0,,mccarwa01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mccarwa01,
2001-02,27.0,BOS,NBA,PF,14.0,0.0,194.0,8.9,0.524,0.474,0.237,4.7,14.8,9.8,3.5,1.1,0.0,8.7,11.1,0.2,0.2,0.4,0.104,-2.6,-0.6,-3.2,-0.1,,mccarwa01,
2002-03,28.0,BOS,NBA,SF,10.0,8.0,352.0,11.9,0.634,0.693,0.093,3.3,10.6,7.0,10.9,1.2,1.1,12.3,12.0,0.5,0.4,0.9,0.123,1.3,0.9,2.2,0.4,,mccarwa01,
2003-04,29.0,BOS,NBA,PF,4.0,4.0,127.0,11.5,0.609,0.652,0.0,2.8,15.5,9.4,12.3,0.8,1.1,14.8,10.0,0.2,-0.1,0.1,0.033,1.0,0.0,1.0,0.1,,mccarwa01,
2004-05,30.0,PHO,NBA,PF,8.0,0.0,55.0,1.4,0.304,0.667,0.222,0.0,11.6,6.1,6.6,1.9,2.5,9.2,8.8,-0.1,0.0,0.0,-0.035,-6.1,2.0,-4.1,0.0,,mccarwa01,
2005-06,31.0,LAC,NBA,SF,8.0,0.0,10.0,-5.5,0.25,0.25,0.0,0.0,10.7,5.8,0.0,0.0,0.0,0.0,18.1,0.0,0.0,0.0,-0.154,-12.4,-3.9,-16.3,0.0,,mccarwa01,
1946-47,26.0,CHS,BAA,,11.0,,,,0.31,,0.205,,,,,,,,,0.2,0.7,1.0,,,,,,,jarosto01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jarosto01,
1948-49,28.0,MNL,BAA,,10.0,,,,0.439,,0.411,,,,,,,,,0.3,0.3,0.6,,,,,,,jarosto01,
1949-50,29.0,MNL,NBA,,2.0,,,,0.129,,0.667,,,,,,,,,-0.1,0.0,-0.1,,,,,,,jarosto01,
1950-51,30.0,MNL,NBA,,7.0,,,,0.403,,0.55,,,,,,,,,0.0,0.0,0.0,,,,,,,jarosto01,
1989-90,24.0,SAS,NBA,C,10.0,10.0,375.0,24.4,0.581,0.0,0.575,10.7,23.1,17.1,8.4,1.4,6.6,10.3,24.6,0.9,0.8,1.7,0.219,4.1,2.5,6.6,0.8,,robinda01,
1990-91,25.0,SAS,NBA,C,4.0,4.0,166.0,26.1,0.76,0.02,0.745,7.8,31.3,19.3,7.6,1.7,6.0,18.1,20.7,0.5,0.3,0.8,0.234,5.0,3.6,8.5,0.4,,robinda01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robinda01,
1992-93,27.0,SAS,NBA,C,10.0,10.0,421.0,21.6,0.529,0.006,0.647,8.2,25.4,17.1,15.3,1.2,5.7,10.3,25.6,0.7,0.8,1.5,0.172,3.3,2.8,6.1,0.9,,robinda01,
1993-94,28.0,SAS,NBA,C,4.0,4.0,146.0,22.0,0.471,0.014,0.37,9.1,22.6,15.2,19.5,1.1,4.7,9.6,28.9,0.2,0.1,0.3,0.105,4.7,1.5,6.2,0.3,,robinda01,
1994-95,29.0,SAS,NBA,C,15.0,15.0,623.0,22.6,0.536,0.017,0.516,10.7,22.2,16.6,14.5,1.9,5.0,13.6,29.8,0.7,1.6,2.3,0.176,3.4,2.7,6.1,1.3,,robinda01,
1995-96,30.0,SAS,NBA,C,10.0,10.0,353.0,29.1,0.569,0.0,0.652,13.0,21.3,17.3,14.0,2.3,5.0,10.4,31.6,1.1,0.4,1.6,0.214,4.6,2.1,6.7,0.8,,robinda01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robinda01,
1997-98,32.0,SAS,NBA,C,9.0,9.0,353.0,24.1,0.496,0.0,0.716,14.5,27.2,21.2,12.4,1.7,6.0,12.4,27.7,0.5,0.9,1.3,0.183,3.7,2.4,6.1,0.7,,robinda01,
1998-99,33.0,SAS,NBA,C,17.0,17.0,600.0,23.3,0.563,0.0,0.7,7.7,24.9,16.8,14.0,2.6,4.8,14.5,22.7,1.3,1.7,3.0,0.243,2.6,4.5,7.1,1.4,,robinda01,
1999-00,34.0,SAS,NBA,C,4.0,4.0,155.0,25.6,0.463,0.012,0.506,11.4,24.5,18.1,16.6,2.4,5.4,7.3,32.1,0.2,0.5,0.7,0.22,5.3,3.2,8.4,0.4,,robinda01,
2000-01,35.0,SAS,NBA,C,13.0,13.0,409.0,24.5,0.538,0.006,0.597,10.7,28.7,20.1,10.5,2.2,5.1,12.2,26.4,0.7,1.0,1.8,0.207,3.0,3.6,6.5,0.9,,robinda01,
2001-02,36.0,SAS,NBA,C,4.0,4.0,81.0,12.6,0.434,0.0,0.211,8.5,24.4,16.4,10.7,2.1,2.7,8.8,13.6,0.0,0.1,0.2,0.102,-1.2,2.4,1.2,0.1,,robinda01,
2002-03,37.0,SAS,NBA,C,23.0,23.0,539.0,17.7,0.591,0.0,0.661,9.5,21.0,15.5,6.7,1.8,4.3,13.6,15.0,1.0,1.3,2.3,0.204,0.6,3.0,3.6,0.8,,robinda01,
2023-24,22.0,IND,NBA,C,15.0,0.0,154.0,18.1,0.56,0.0,0.419,16.4,20.2,18.3,5.9,1.0,7.7,7.3,16.1,0.3,0.2,0.5,0.149,-0.9,-0.3,-1.2,0.0,,jacksis01,
1981-82,27.0,DEN,NBA,PG,3.0,,54.0,7.1,0.438,0.095,0.571,2.0,4.2,3.1,13.0,2.5,0.0,16.0,22.5,-0.1,0.0,-0.1,-0.067,-7.5,-0.6,-8.1,-0.1,,higgske01,
2021-22,20.0,CHI,NBA,PF,5.0,5.0,153.0,11.3,0.569,0.447,0.234,3.6,15.0,8.8,4.3,1.6,1.9,11.9,16.9,0.0,0.2,0.2,0.061,-2.3,0.7,-1.6,0.0,,willipa01,
1961-62,25.0,CIN,NBA,SG,4.0,,53.0,11.1,0.495,,0.263,,,,7.0,,,,,0.1,0.0,0.1,0.058,,,,,,smithad01,
1962-63,26.0,CIN,NBA,SG,12.0,,200.0,12.7,0.478,,0.537,,,,18.9,,,,,0.1,0.1,0.2,0.043,,,,,,smithad01,
1963-64,27.0,CIN,NBA,SG,7.0,,66.0,5.7,0.361,,0.269,,,,8.5,,,,,-0.1,0.0,-0.1,-0.072,,,,,,smithad01,
1964-65,28.0,CIN,NBA,SG,4.0,,150.0,12.1,0.494,,0.458,,,,19.0,,,,,0.2,0.0,0.2,0.053,,,,,,smithad01,
1965-66,29.0,CIN,NBA,SG,5.0,,157.0,11.3,0.473,,0.373,,,,12.2,,,,,0.1,0.0,0.1,0.033,,,,,,smithad01,
1966-67,30.0,CIN,NBA,SG,4.0,,120.0,8.7,0.422,,0.25,,,,11.6,,,,,0.0,0.0,-0.1,-0.038,,,,,,smithad01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smithad01,
1971-72,35.0,VIR,ABA,SG,11.0,,297.0,12.0,0.542,0.051,0.374,,,2.9,6.9,,,8.7,15.9,0.4,0.3,0.6,0.102,,,,,,smithad01,
2021-22,23.0,MIN,NBA,SG,1.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.01,-2.6,-2.3,-4.8,0.0,,okogijo01,
2022-23,24.0,PHO,NBA,SG,10.0,5.0,175.0,9.3,0.48,0.378,0.351,8.2,5.9,7.0,9.1,1.7,0.9,6.6,11.5,0.2,0.0,0.2,0.048,-2.2,-0.1,-2.3,0.0,,okogijo01,
2023-24,25.0,PHO,NBA,SG,4.0,0.0,29.0,12.5,0.601,0.333,0.667,0.0,17.0,8.4,12.3,3.5,0.0,14.7,22.1,0.0,0.0,0.0,0.006,-4.6,1.1,-3.6,0.0,,okogijo01,
1990-91,26.0,PHI,NBA,PG,8.0,0.0,189.0,14.6,0.527,0.188,0.333,1.4,7.0,4.3,29.2,3.1,0.0,12.7,15.8,0.2,0.2,0.4,0.094,0.6,0.6,1.3,0.2,,turnean01,
2004-05,24.0,SEA,NBA,PF,11.0,11.0,208.0,10.4,0.443,0.0,0.568,16.4,31.2,24.0,3.6,1.3,1.1,19.2,12.7,0.0,0.2,0.2,0.049,-1.9,-1.1,-2.9,0.0,,evansre01,
2005-06,25.0,DEN,NBA,PF,5.0,0.0,69.0,11.3,0.637,0.286,2.571,11.6,28.8,19.0,0.0,1.5,1.1,28.7,13.3,0.0,0.1,0.2,0.116,-3.2,1.3,-1.9,0.0,,evansre01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evansre01,
