Season,Age,Team,Lg,G,FG,FGA,FG%,FT,FTA,FT%,AST,PF,PTS,Awards,player_id,Pos,GS,MP,3P,3PA,2P,2PA,ORB,DRB,TRB,STL,BLK,TOV,3P%,2P%,eFG%
2004-05,31.0,NJN,NBA,4.0,6.5,16.8,0.388,1.5,2.8,0.545,7.3,4.0,17.3,,kiddja01,PG,4.0,45.5,2.8,7.5,3.8,9.3,2.5,6.5,9.0,2.5,0.0,2.3,0.367,0.405,0.47
2005-06,32.0,NJN,NBA,11.0,4.5,12.0,0.371,1.7,2.1,0.826,9.6,2.8,12.0,,kiddja01,PG,11.0,40.9,1.4,4.5,3.1,7.5,2.0,5.6,7.6,1.5,0.2,2.2,0.3,0.415,0.428
2006-07,33.0,NJN,NBA,12.0,5.3,12.3,0.432,1.1,2.1,0.52,10.9,2.6,14.6,,kiddja01,PG,12.0,40.3,2.8,6.8,2.5,5.6,1.9,9.0,10.9,1.8,0.4,3.4,0.42,0.448,0.547
2007-08,34.0,DAL,NBA,5.0,3.2,7.6,0.421,1.0,1.6,0.625,6.8,2.4,8.6,,kiddja01,PG,5.0,36.0,1.2,2.6,2.0,5.0,1.6,4.8,6.4,1.4,0.4,1.8,0.462,0.4,0.5
2008-09,35.0,DAL,NBA,10.0,3.8,8.3,0.458,1.7,2.0,0.85,5.9,2.4,11.4,,kiddja01,PG,10.0,38.6,2.1,4.7,1.7,3.6,0.7,5.1,5.8,2.2,0.3,2.0,0.447,0.472,0.584
2009-10,36.0,DAL,NBA,6.0,2.3,7.7,0.304,1.8,2.0,0.917,7.0,2.5,8.0,,kiddja01,PG,6.0,40.5,1.5,4.7,0.8,3.0,1.0,5.8,6.8,2.3,0.2,1.5,0.321,0.278,0.402
2010-11,37.0,DAL,NBA,21.0,3.0,7.7,0.398,1.1,1.4,0.8,7.3,1.7,9.3,,kiddja01,PG,21.0,35.4,2.0,5.5,1.0,2.2,0.5,4.0,4.5,1.9,0.5,2.7,0.374,0.457,0.531
2011-12,38.0,DAL,NBA,4.0,3.5,10.3,0.341,2.3,2.5,0.9,6.0,1.8,11.5,,kiddja01,PG,4.0,36.0,2.3,6.5,1.3,3.8,0.8,5.3,6.0,3.0,0.3,2.8,0.346,0.333,0.451
2012-13,39.0,NYK,NBA,12.0,0.3,2.1,0.12,0.2,0.2,1.0,2.0,1.0,0.9,,kiddja01,SG,0.0,20.6,0.3,1.4,0.0,0.7,0.6,2.9,3.5,1.0,0.3,1.1,0.176,0.0,0.18
2017-18,21.0,UTA,NBA,11.0,9.3,22.1,0.42,3.5,3.9,0.907,4.2,3.2,24.4,,mitchdo01,SG,11.0,37.4,2.3,7.3,7.0,14.8,0.8,5.1,5.9,1.5,0.4,2.9,0.313,0.472,0.471
2018-19,22.0,UTA,NBA,5.0,7.2,22.4,0.321,4.8,6.6,0.727,3.2,3.0,21.4,,mitchdo01,SG,5.0,38.6,2.2,8.6,5.0,13.8,1.4,3.6,5.0,1.6,0.2,4.2,0.256,0.362,0.371
2019-20,23.0,UTA,NBA,7.0,11.9,22.4,0.529,7.9,8.3,0.948,4.9,1.6,36.3,,mitchdo01,SG,7.0,37.7,4.7,9.1,7.1,13.3,0.9,4.1,5.0,1.0,0.3,4.1,0.516,0.538,0.634
2020-21,24.0,UTA,NBA,10.0,10.5,23.5,0.447,6.3,7.6,0.829,5.5,2.0,32.3,,mitchdo01,PG,10.0,34.6,5.0,11.5,5.5,12.0,0.3,3.9,4.2,1.1,0.2,2.8,0.435,0.458,0.553
2021-22,25.0,UTA,NBA,6.0,8.8,22.2,0.398,6.2,7.0,0.881,5.7,2.3,25.5,,mitchdo01,SG,6.0,38.2,1.7,8.0,7.2,14.2,1.0,3.3,4.3,0.7,0.5,2.7,0.208,0.506,0.436
2022-23,26.0,CLE,NBA,5.0,9.0,20.8,0.433,2.6,3.6,0.722,7.2,2.8,23.2,,mitchdo01,SG,5.0,41.4,2.6,9.0,6.4,11.8,0.6,4.4,5.0,2.0,0.6,3.8,0.289,0.542,0.495
2023-24,27.0,CLE,NBA,10.0,10.7,22.5,0.476,5.3,6.5,0.815,4.7,2.9,29.6,,mitchdo01,SG,10.0,38.2,2.9,8.2,7.8,14.3,0.6,4.8,5.4,1.3,0.3,2.8,0.354,0.545,0.54
2024-25,28.0,CLE,NBA,9.0,9.6,21.6,0.443,7.3,9.9,0.742,3.9,2.0,29.6,,mitchdo01,SG,9.0,32.0,3.1,9.3,6.4,12.2,1.2,3.4,4.7,1.9,0.3,1.9,0.333,0.527,0.515
1990-91,23.0,HOU,NBA,2.0,2.5,6.5,0.385,3.0,3.0,1.0,2.0,2.0,8.0,,jamerda01,SG,0.0,10.5,0.0,0.5,2.5,6.0,0.5,1.0,1.5,0.5,0.0,0.5,0.0,0.417,0.385
2015-16,19.0,MIA,NBA,13.0,2.5,5.7,0.432,1.6,2.3,0.7,0.6,2.7,6.9,,winslju01,SF,2.0,25.4,0.4,1.4,2.1,4.3,1.3,3.5,4.8,0.6,0.3,0.9,0.278,0.482,0.466
,,,,,,,,,,,,,,,winslju01,,,,,,,,,,,,,,,,
2017-18,21.0,MIA,NBA,5.0,3.0,8.4,0.357,2.4,3.4,0.706,2.6,3.4,9.8,,winslju01,PF,0.0,25.0,1.4,3.8,1.6,4.6,1.4,5.2,6.6,0.8,0.8,1.6,0.368,0.348,0.44
,,,,,,,,,,,,,,,winslju01,,,,,,,,,,,,,,,,
2020-21,24.0,MEM,NBA,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,,winslju01,SF,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,
2023-24,21.0,NOP,NBA,3.0,0.0,1.3,0.0,0.0,0.0,,0.0,0.3,0.0,,hawkijo01,SG,0.0,4.0,0.0,1.0,0.0,0.3,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0
1974-75,23.0,DNA,ABA,13.0,8.6,17.4,0.496,4.1,4.6,0.883,1.1,3.9,21.3,,greenmi01,C,,37.5,0.0,0.1,8.6,17.3,4.2,5.2,9.3,0.8,1.6,2.1,0.0,0.498,0.496
,,,,,,,,,,,,,,,greenmi01,,,,,,,,,,,,,,,,
1977-78,26.0,SAS,NBA,6.0,4.7,9.7,0.483,1.5,1.7,0.9,1.8,3.5,10.8,,greenmi01,C,,29.0,,,0.0,0.0,2.8,4.5,7.3,0.8,2.7,1.3,,0.483,0.483
1978-79,27.0,SAS,NBA,14.0,3.4,8.1,0.421,1.0,1.5,0.667,0.8,4.2,7.9,,greenmi01,C,,25.0,,,0.0,0.0,2.5,2.7,5.2,0.9,2.6,1.3,,0.421,0.421
1979-80,24.0,LAL,NBA,16.0,1.6,4.3,0.362,0.3,0.4,0.833,0.1,2.2,3.4,,landsma01,C,,12.2,0.0,0.1,1.6,4.3,1.6,2.8,4.3,0.2,0.1,0.6,0.0,0.368,0.362
1980-81,25.0,LAL,NBA,3.0,0.7,2.3,0.286,0.3,0.3,1.0,0.0,1.7,1.7,,landsma01,PF,,10.7,0.0,0.0,0.7,2.3,3.0,2.0,5.0,0.3,0.0,0.3,,0.286,0.286
1981-82,26.0,LAL,NBA,9.0,0.3,1.0,0.333,0.4,1.0,0.444,0.2,1.3,1.1,,landsma01,PF,,6.7,0.0,0.0,0.3,1.0,1.2,1.2,2.4,0.0,0.0,0.4,,0.333,0.333
1982-83,27.0,LAL,NBA,11.0,1.1,2.5,0.429,0.2,0.4,0.5,0.3,2.2,2.4,,landsma01,PF,,12.8,0.0,0.1,1.1,2.5,1.7,2.3,4.0,0.0,0.2,0.5,0.0,0.444,0.429
1983-84,28.0,ATL,NBA,2.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,,landsma01,PF,,2.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.0
2022-23,21.0,DEN,NBA,19.0,1.3,2.4,0.533,0.6,1.0,0.579,0.6,1.5,3.2,,braunch01,SG,0.0,13.0,0.1,0.5,1.2,1.8,0.6,1.4,2.1,0.6,0.2,0.5,0.2,0.629,0.556
2023-24,22.0,DEN,NBA,12.0,1.9,4.5,0.426,0.9,1.3,0.688,0.8,1.5,5.1,,braunch01,SG,0.0,17.0,0.3,1.5,1.6,3.0,0.8,1.9,2.7,0.2,0.4,0.1,0.222,0.528,0.463
2024-25,23.0,DEN,NBA,14.0,4.8,10.6,0.453,1.6,2.2,0.71,2.4,3.4,12.6,,braunch01,SG,14.0,38.9,1.5,5.1,3.3,5.5,1.8,4.6,6.4,1.2,0.7,1.0,0.296,0.597,0.524
1949-50,24.0,FTW,NBA,4.0,6.0,16.5,0.364,6.5,7.8,0.839,2.8,2.3,18.5,,schaufr01,,,,,,,,,,,,,,,,
1950-51,25.0,FTW,NBA,3.0,5.7,14.7,0.386,3.0,3.7,0.818,3.3,3.3,14.3,,schaufr01,,,,,,,,,,5.3,,,,,,
1951-52,26.0,FTW,NBA,2.0,6.0,17.5,0.343,3.5,4.0,0.875,7.0,4.5,15.5,,schaufr01,SF,,45.0,,,,,,,7.5,,,,,,
1952-53,27.0,FTW,NBA,8.0,2.3,7.5,0.3,4.4,5.8,0.761,1.5,5.0,8.9,,schaufr01,SF,,30.5,,,,,,,5.3,,,,,,
1953-54,28.0,NYK,NBA,4.0,1.8,6.3,0.28,3.5,3.8,0.933,2.0,4.5,7.0,,schaufr01,SF,,29.8,,,,,,,3.0,,,,,,
2004-05,24.0,SEA,NBA,11.0,3.4,5.5,0.607,1.5,2.5,0.63,0.5,3.6,8.4,,collini01,C,0.0,19.8,0.1,0.1,3.3,5.5,2.0,3.0,5.0,0.3,0.5,0.5,1.0,0.6,0.615
,,,,,,,,,,,,,,,collini01,,,,,,,,,,,,,,,,
2009-10,29.0,OKC,NBA,6.0,1.3,4.0,0.333,0.5,1.2,0.429,0.3,3.3,3.2,,collini01,C,0.0,21.5,0.0,0.2,1.3,3.8,2.0,2.7,4.7,0.8,0.2,0.7,0.0,0.348,0.333
2010-11,30.0,OKC,NBA,17.0,2.8,4.5,0.632,1.1,1.4,0.783,0.9,3.7,6.7,,collini01,C,0.0,24.3,0.0,0.0,2.8,4.5,2.8,3.0,5.8,0.9,0.9,0.8,,0.632,0.632
2011-12,31.0,OKC,NBA,20.0,1.7,2.6,0.647,0.2,0.4,0.429,1.0,2.6,3.5,,collini01,PF,0.0,16.6,0.0,0.0,1.7,2.6,1.5,1.9,3.4,0.6,0.3,0.6,,0.647,0.647
2012-13,32.0,OKC,NBA,11.0,2.0,4.3,0.468,1.0,1.1,0.917,1.1,3.4,5.0,,collini01,C,0.0,16.2,0.0,0.0,2.0,4.3,2.3,2.4,4.6,0.5,1.0,0.9,,0.468,0.468
2013-14,33.0,OKC,NBA,17.0,0.7,1.7,0.414,0.4,0.6,0.7,0.8,1.6,1.9,,collini01,PF,2.0,10.8,0.1,0.3,0.6,1.4,0.7,1.5,2.2,0.2,0.4,0.4,0.4,0.417,0.448
,,,,,,,,,,,,,,,collini01,,,,,,,,,,,,,,,,
2015-16,35.0,OKC,NBA,9.0,0.4,0.7,0.667,0.1,0.2,0.5,0.6,1.9,1.0,,collini01,PF,0.0,8.8,0.0,0.0,0.4,0.7,0.3,0.9,1.2,0.9,0.0,0.1,,0.667,0.667
2013-14,26.0,IND,NBA,4.0,0.5,1.8,0.286,0.5,1.0,0.5,0.8,0.0,1.8,,sloando01,SG,0.0,3.8,0.3,1.0,0.3,0.8,0.0,0.3,0.3,0.3,0.0,0.5,0.25,0.333,0.357
1998-99,21.0,LAL,NBA,3.0,2.3,5.7,0.412,0.0,0.0,,2.0,1.3,4.7,,luety01,PG,0.0,11.0,0.0,0.7,2.3,5.0,0.0,0.7,0.7,0.7,0.0,1.3,0.0,0.467,0.412
,,,,,,,,,,,,,,,luety01,,,,,,,,,,,,,,,,
2000-01,23.0,LAL,NBA,15.0,0.7,1.9,0.345,0.3,0.3,0.8,0.7,0.7,1.9,,luety01,PG,0.0,8.7,0.3,0.9,0.3,1.1,0.1,0.6,0.7,0.8,0.1,0.5,0.385,0.313,0.431
,,,,,,,,,,,,,,,luety01,,,,,,,,,,,,,,,,
2007-08,30.0,DAL,NBA,2.0,0.0,0.5,0.0,0.0,0.0,,0.5,0.0,0.0,,luety01,PG,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.0
2008-09,31.0,ORL,NBA,1.0,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,5.0,,luety01,PG,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.25
2023-24,22.0,IND,NBA,17.0,1.8,4.2,0.437,0.4,0.5,0.778,1.0,1.9,5.2,,sheppbe01,SG,2.0,19.7,1.1,2.9,0.7,1.2,0.6,2.4,3.0,0.5,0.1,0.6,0.38,0.571,0.57
2024-25,23.0,IND,NBA,14.0,1.1,2.4,0.485,0.3,0.3,1.0,0.5,1.8,3.4,,sheppbe01,SG,0.0,14.1,0.8,1.9,0.4,0.5,0.3,1.4,1.7,0.2,0.0,0.5,0.423,0.714,0.652
1968-69,25.0,INA,ABA,17.0,2.0,6.7,0.298,1.1,1.6,0.667,1.1,1.9,5.7,,perryro01,SG,,11.9,0.6,2.2,1.4,4.5,,,1.2,,,1.1,0.289,0.303,0.346
1987-88,24.0,LAL,NBA,5.0,0.4,1.0,0.4,0.4,0.4,1.0,0.6,0.6,1.2,,wagnemi01,SG,0.0,2.8,0.0,0.2,0.4,0.8,0.0,0.4,0.4,0.0,0.2,0.0,0.0,0.5,0.4
1947-48,22.0,CHS,BAA,5.0,0.6,3.8,0.158,1.4,2.6,0.538,0.4,2.8,2.6,,hustopa01,,,,,,,,,,,,,,,,
2005-06,24.0,MIA,NBA,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,kaponja01,SF,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-07,25.0,MIA,NBA,4.0,2.0,4.3,0.471,0.5,0.5,1.0,0.5,2.3,5.0,,kaponja01,SF,1.0,19.3,0.5,1.0,1.5,3.3,0.0,1.3,1.3,0.5,0.0,0.3,0.5,0.462,0.529
2007-08,26.0,TOR,NBA,5.0,6.2,10.6,0.585,0.6,0.8,0.75,0.8,1.8,15.6,,kaponja01,SF,0.0,30.4,2.6,4.8,3.6,5.8,0.4,2.2,2.6,0.4,0.0,0.4,0.542,0.621,0.708
1947-48,30.0,BLB,BAA,11.0,2.7,5.5,0.492,3.4,3.8,0.881,1.1,4.1,8.8,,jeannbu01,,,,,,,,,,,,,,,,
1948-49,31.0,BLB,BAA,3.0,0.7,4.3,0.154,1.3,1.3,1.0,1.7,3.7,2.7,,jeannbu01,,,,,,,,,,,,,,,,
1963-64,23.0,LAL,NBA,5.0,1.4,2.6,0.538,0.6,0.6,1.0,0.4,2.2,3.4,,nelsodo01,SF,,11.2,,,,,,,2.6,,,,,,
1964-65,24.0,LAL,NBA,11.0,2.2,4.8,0.453,1.7,2.3,0.76,1.7,2.8,6.1,,nelsodo01,SF,,19.3,,,,,,,5.4,,,,,,
1965-66,25.0,BOS,NBA,17.0,2.9,6.9,0.424,2.5,3.1,0.808,0.8,2.9,8.4,,nelsodo01,SF,,18.6,,,,,,,5.0,,,,,,
1966-67,26.0,BOS,NBA,9.0,3.0,6.6,0.458,1.1,1.9,0.588,1.0,1.3,7.1,,nelsodo01,SF,,15.8,,,,,,,4.7,,,,,,
1967-68,27.0,BOS,NBA,19.0,4.8,9.2,0.52,2.9,3.9,0.743,1.7,2.6,12.5,,nelsodo01,SF,,24.6,,,,,,,7.5,,,,,,
1968-69,28.0,BOS,NBA,18.0,4.8,9.3,0.518,2.8,3.3,0.833,1.2,2.8,12.4,,nelsodo01,SF,,19.3,,,,,,,4.6,,,,,,
,,,,,,,,,,,,,,,nelsodo01,,,,,,,,,,,,,,,,
1971-72,31.0,BOS,NBA,11.0,4.7,9.0,0.525,3.7,4.4,0.854,1.9,2.7,13.2,,nelsodo01,PF,,28.0,,,,,,,5.5,,,,,,
1972-73,32.0,BOS,NBA,13.0,3.6,7.8,0.465,3.8,4.3,0.875,1.2,2.2,11.0,,nelsodo01,SF,,23.3,,,,,,,2.9,,,,,,
1973-74,33.0,BOS,NBA,18.0,4.6,9.1,0.5,2.3,2.9,0.774,1.9,3.0,11.4,,nelsodo01,SF,,25.9,,,,,1.4,4.0,5.4,0.4,0.2,,,,
1974-75,34.0,BOS,NBA,11.0,6.0,10.6,0.564,3.4,3.7,0.902,2.4,3.3,15.4,,nelsodo01,SF,,24.9,,,,,1.6,2.5,4.1,0.2,0.2,,,,
1975-76,35.0,BOS,NBA,18.0,2.9,6.0,0.481,3.3,3.8,0.87,0.9,2.6,9.1,,nelsodo01,SF,,17.5,,,,,0.9,2.0,2.9,0.2,0.1,,,,
1996-97,22.0,CHH,NBA,2.0,1.0,2.0,0.5,0.0,0.0,,0.5,1.0,2.0,,rosema01,PF,0.0,6.0,0.0,0.0,1.0,2.0,2.0,0.5,2.5,0.0,0.0,1.0,,0.5,0.5
1997-98,23.0,SAS,NBA,5.0,0.8,1.2,0.667,0.4,0.8,0.5,0.2,0.4,2.0,,rosema01,PF,0.0,3.6,0.0,0.0,0.8,1.2,0.6,0.8,1.4,0.2,0.0,0.8,,0.667,0.667
1998-99,24.0,SAS,NBA,17.0,0.8,2.2,0.368,1.1,1.5,0.692,0.2,3.1,2.7,,rosema01,PF,0.0,11.4,0.0,0.0,0.8,2.2,1.0,1.3,2.3,0.4,0.2,0.6,,0.368,0.368
1999-00,25.0,SAS,NBA,4.0,2.0,4.5,0.444,1.3,2.3,0.556,0.3,3.0,5.3,,rosema01,PF,0.0,20.8,0.0,0.0,2.0,4.5,1.3,3.5,4.8,0.5,0.8,1.8,,0.444,0.444
2000-01,26.0,SAS,NBA,13.0,1.8,4.2,0.418,1.3,1.5,0.85,0.3,2.9,4.9,,rosema01,PF,0.0,16.5,0.1,0.2,1.7,4.0,1.2,2.5,3.8,0.2,0.1,0.8,0.333,0.423,0.427
2001-02,27.0,SAS,NBA,10.0,4.6,9.6,0.479,3.7,5.0,0.74,1.4,3.1,12.9,,rosema01,PF,3.0,29.2,0.0,0.1,4.6,9.5,2.7,5.2,7.9,1.0,0.5,1.2,0.0,0.484,0.479
2002-03,28.0,SAS,NBA,24.0,3.1,7.5,0.419,3.0,3.9,0.766,1.0,3.0,9.3,,rosema01,PF,0.0,23.3,0.0,0.1,3.1,7.3,2.0,3.7,5.8,0.7,0.5,1.8,0.0,0.426,0.419
2003-04,29.0,SAS,NBA,7.0,0.6,2.3,0.25,0.3,0.6,0.5,0.9,0.9,1.4,,rosema01,PF,0.0,8.3,0.0,0.3,0.6,2.0,1.7,0.7,2.4,0.6,0.3,1.1,0.0,0.286,0.25
1990-91,23.0,ATL,NBA,2.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,2.0,,leonaga01,C,0.0,2.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,1.0
1946-47,23.0,CLR,BAA,3.0,2.0,8.7,0.231,1.3,1.7,0.8,2.0,2.0,5.3,,wertira01,,,,,,,,,,,,,,,,
2019-20,22.0,BOS,NBA,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,,watertr01,PG,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0
2020-21,23.0,BOS,NBA,3.0,0.3,1.3,0.25,0.7,1.0,0.667,0.7,0.0,1.3,,watertr01,PG,0.0,2.0,0.0,0.7,0.3,0.7,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.5,0.25
1982-83,23.0,PHO,NBA,3.0,2.3,4.7,0.5,0.7,1.3,0.5,0.0,1.3,5.3,,whitero01,SF,,13.3,0.0,0.3,2.3,4.3,0.3,3.0,3.3,0.0,0.0,0.3,0.0,0.538,0.5
2001-02,23.0,NJN,NBA,6.0,0.2,0.5,0.333,0.0,0.0,,0.0,0.0,0.3,,scalabr01,PF,0.0,2.3,0.0,0.2,0.2,0.3,0.2,0.3,0.5,0.0,0.2,0.2,0.0,0.5,0.333
2002-03,24.0,NJN,NBA,7.0,0.3,0.6,0.5,0.0,0.0,,0.0,0.4,0.6,,scalabr01,PF,0.0,2.9,0.0,0.1,0.3,0.4,0.1,0.4,0.6,0.0,0.0,0.1,0.0,0.667,0.5
2003-04,25.0,NJN,NBA,9.0,1.2,1.9,0.647,0.3,0.7,0.5,0.1,1.7,3.3,,scalabr01,PF,0.0,8.1,0.6,0.7,0.7,1.2,0.8,0.6,1.3,0.3,0.0,0.4,0.833,0.545,0.794
2004-05,26.0,NJN,NBA,4.0,0.5,2.8,0.182,1.0,1.0,1.0,0.5,1.5,2.3,,scalabr01,PF,3.0,15.3,0.3,1.0,0.3,1.8,0.5,1.3,1.8,0.3,0.5,1.0,0.25,0.143,0.227
,,,,,,,,,,,,,,,scalabr01,,,,,,,,,,,,,,,,
2008-09,30.0,BOS,NBA,12.0,1.8,4.3,0.423,0.3,0.3,1.0,1.0,3.6,5.1,,scalabr01,C,0.0,20.5,1.1,2.4,0.8,1.9,0.6,1.6,2.2,0.2,0.4,0.4,0.448,0.391,0.548
2009-10,31.0,BOS,NBA,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,scalabr01,PF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-08,23.0,ATL,NBA,6.0,0.2,0.5,0.333,0.0,0.2,0.0,0.0,0.0,0.3,,westma02,SG,0.0,1.0,0.0,0.0,0.2,0.5,0.2,0.2,0.3,0.0,0.0,0.0,,0.333,0.333
2008-09,24.0,ATL,NBA,11.0,0.2,0.9,0.2,0.1,0.4,0.25,0.2,0.2,0.5,,westma02,SG,0.0,4.2,0.0,0.1,0.2,0.8,0.0,0.5,0.5,0.2,0.0,0.1,0.0,0.222,0.2
2009-10,25.0,ATL,NBA,7.0,0.4,0.6,0.75,0.0,0.0,,0.1,1.0,0.9,,westma02,SG,0.0,2.9,0.0,0.1,0.4,0.4,0.1,0.1,0.3,0.1,0.0,0.0,0.0,1.0,0.75
1971-72,22.0,KEN,ABA,6.0,8.7,15.2,0.571,4.5,6.3,0.711,4.2,2.8,21.8,,gilmoar01,C,,47.5,0.0,0.2,8.7,15.0,,,17.7,,,4.8,0.0,0.578,0.571
1972-73,23.0,KEN,ABA,19.0,7.5,13.7,0.544,4.1,6.5,0.626,3.9,3.6,19.0,,gilmoar01,C,,41.1,0.0,0.0,7.5,13.7,4.4,9.3,13.7,,,3.3,,0.544,0.544
1973-74,24.0,KEN,ABA,8.0,8.9,15.9,0.559,4.8,8.3,0.576,3.5,2.5,22.5,,gilmoar01,C,,43.0,0.0,0.0,8.9,15.9,5.9,12.8,18.6,0.9,3.8,3.6,,0.559,0.559
1974-75,25.0,KEN,ABA,15.0,8.8,16.3,0.539,6.5,8.5,0.772,2.5,3.9,24.1,ABA Playoffs-1,gilmoar01,C,,45.3,0.0,0.0,8.8,16.3,5.0,12.6,17.6,1.0,2.1,3.9,,0.539,0.539
1975-76,26.0,KEN,ABA,10.0,9.3,15.3,0.608,5.6,7.4,0.757,1.9,4.9,24.2,,gilmoar01,C,,39.0,0.0,0.0,9.3,15.3,5.0,10.2,15.2,1.1,3.6,4.4,,0.608,0.608
1976-77,27.0,CHI,NBA,3.0,6.3,13.3,0.475,6.0,7.7,0.783,2.0,3.0,18.7,,gilmoar01,C,,42.0,,,0.0,0.0,5.0,8.0,13.0,1.0,2.7,,,0.475,0.475
,,,,,,,,,,,,,,,gilmoar01,,,,,,,,,,,,,,,,
1980-81,31.0,CHI,NBA,6.0,5.8,10.0,0.583,6.3,9.2,0.691,2.0,2.5,18.0,,gilmoar01,C,,41.2,0.0,0.0,5.8,10.0,4.0,7.2,11.2,1.0,2.8,2.8,,0.583,0.583
,,,,,,,,,,,,,,,gilmoar01,,,,,,,,,,,,,,,,
1982-83,33.0,SAS,NBA,11.0,6.9,12.0,0.576,2.9,4.2,0.696,1.6,4.2,16.7,,gilmoar01,C,,36.5,0.0,0.0,6.9,12.0,3.4,9.5,12.9,0.8,3.1,2.5,,0.576,0.576
,,,,,,,,,,,,,,,gilmoar01,,,,,,,,,,,,,,,,
1984-85,35.0,SAS,NBA,5.0,5.8,10.4,0.558,6.2,9.0,0.689,1.4,3.6,17.8,,gilmoar01,C,5.0,37.0,0.0,0.0,5.8,10.4,2.0,8.0,10.0,0.4,1.4,4.6,,0.558,0.558
1985-86,36.0,SAS,NBA,3.0,5.3,8.0,0.667,2.7,4.7,0.571,1.0,3.7,13.3,,gilmoar01,C,3.0,35.7,0.0,0.0,5.3,8.0,2.3,3.7,6.0,2.3,0.3,3.3,,0.667,0.667
,,,,,,,,,,,,,,,gilmoar01,,,,,,,,,,,,,,,,
1987-88,38.0,BOS,NBA,14.0,0.3,0.6,0.5,0.5,1.0,0.5,0.1,1.0,1.1,,gilmoar01,C,0.0,6.1,0.0,0.0,0.3,0.6,0.3,1.1,1.4,0.0,0.3,0.3,,0.5,0.5
2017-18,27.0,UTA,NBA,6.0,4.7,13.2,0.354,3.0,3.8,0.783,7.0,2.2,14.0,,rubiori01,PG,6.0,30.2,1.7,5.3,3.0,7.8,0.8,6.5,7.3,1.3,0.5,3.0,0.313,0.383,0.418
2018-19,28.0,UTA,NBA,5.0,5.6,13.2,0.424,3.4,4.0,0.85,8.6,2.8,15.4,,rubiori01,PG,5.0,33.6,0.8,4.0,4.8,9.2,0.6,2.6,3.2,2.4,0.2,3.0,0.2,0.522,0.455
,,,,,,,,,,,,,,,rubiori01,,,,,,,,,,,,,,,,
2022-23,32.0,CLE,NBA,3.0,0.0,0.3,0.0,0.0,0.0,,1.0,1.7,0.0,,rubiori01,PG,0.0,5.7,0.0,0.0,0.0,0.3,0.7,1.3,2.0,0.3,0.0,1.7,,0.0,0.0
1993-94,24.0,UTA,NBA,4.0,0.0,0.5,0.0,0.3,0.5,0.5,0.0,1.0,0.3,,bondwa01,SG,0.0,3.3,0.0,0.3,0.0,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
1979-80,26.0,ATL,NBA,5.0,0.8,1.8,0.444,0.8,1.0,0.8,0.8,0.2,2.4,,mcelrji01,PG,,6.4,0.0,0.2,0.8,1.6,0.2,0.2,0.4,0.0,0.0,0.4,0.0,0.5,0.444
2015-16,22.0,POR,NBA,6.0,0.5,0.5,1.0,0.0,0.0,,0.0,0.2,1.3,,montelu01,SG,0.0,1.3,0.3,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.333
2011-12,23.0,LAC,NBA,11.0,1.9,3.6,0.525,0.7,2.2,0.333,0.4,1.8,4.5,,jordade01,C,11.0,22.6,0.0,0.0,1.9,3.6,1.6,3.6,5.3,0.6,1.6,0.6,,0.525,0.525
2012-13,24.0,LAC,NBA,6.0,1.7,3.7,0.455,0.3,1.5,0.222,0.2,3.0,3.7,,jordade01,C,6.0,24.0,0.0,0.0,1.7,3.7,2.5,3.8,6.3,0.2,1.7,1.5,,0.455,0.455
2013-14,25.0,LAC,NBA,13.0,3.5,4.8,0.73,2.5,5.8,0.434,0.8,3.5,9.6,,jordade01,C,13.0,34.0,0.0,0.0,3.5,4.8,3.3,9.2,12.5,0.9,2.5,1.8,,0.73,0.73
2014-15,26.0,LAC,NBA,14.0,4.1,5.8,0.716,4.8,11.2,0.427,1.1,3.0,13.1,,jordade01,C,14.0,34.4,0.0,0.0,4.1,5.8,3.5,9.9,13.4,1.1,2.4,1.2,,0.716,0.716
