Season,Age,Team,Lg,G,FG,FGA,FG%,FT,FTA,FT%,AST,PF,PTS,Awards,player_id,Pos,GS,MP,3P,3PA,2P,2PA,ORB,DRB,TRB,STL,BLK,TOV,3P%,2P%,eFG%
,,,,,,,,,,,,,,,davisan01,,,,,,,,,,,,,,,,
1997-98,29.0,IND,NBA,16.0,2.6,5.7,0.462,3.9,5.9,0.67,0.9,4.1,9.2,,davisan01,PF,0.0,28.7,0.0,0.0,2.6,5.7,2.3,4.4,6.8,0.8,1.1,1.6,,0.462,0.462
1998-99,30.0,IND,NBA,13.0,2.4,5.8,0.413,3.2,4.8,0.661,0.6,3.0,7.9,,davisan01,PF,0.0,25.1,0.0,0.0,2.4,5.8,1.8,5.3,7.1,0.4,1.1,1.5,,0.413,0.413
1999-00,31.0,TOR,NBA,3.0,4.7,8.0,0.583,3.7,4.7,0.786,1.0,3.0,13.0,,davisan01,C,3.0,35.0,0.0,0.0,4.7,8.0,2.3,6.0,8.3,0.3,1.3,1.3,,0.583,0.583
2000-01,32.0,TOR,NBA,12.0,6.4,12.8,0.5,3.6,4.4,0.811,1.9,2.9,16.4,,davisan01,C,12.0,40.4,0.0,0.0,6.4,12.8,3.4,7.7,11.1,0.8,1.8,1.8,,0.5,0.5
2001-02,33.0,TOR,NBA,5.0,6.8,15.0,0.453,3.4,5.6,0.607,1.4,3.4,17.0,,davisan01,PF,5.0,40.4,0.0,0.0,6.8,15.0,3.2,7.4,10.6,0.4,1.0,2.0,,0.453,0.453
,,,,,,,,,,,,,,,davisan01,,,,,,,,,,,,,,,,
2004-05,36.0,CHI,NBA,6.0,3.3,7.7,0.435,2.8,3.8,0.739,1.8,4.2,9.5,,davisan01,PF,6.0,29.2,0.0,0.0,3.3,7.7,2.8,4.0,6.8,0.7,0.7,1.5,,0.435,0.435
1984-85,21.0,CHI,NBA,4.0,8.5,19.5,0.436,12.0,14.5,0.828,8.5,3.8,29.3,,jordami01,SG,4.0,42.8,0.3,2.0,8.3,17.5,1.8,4.0,5.8,2.8,1.0,3.8,0.125,0.471,0.442
1985-86,22.0,CHI,NBA,3.0,16.0,31.7,0.505,11.3,13.0,0.872,5.7,4.3,43.7,,jordami01,SG,3.0,45.0,0.3,0.3,15.7,31.3,1.7,4.7,6.3,2.3,1.3,4.7,1.0,0.5,0.511
1986-87,23.0,CHI,NBA,3.0,11.7,28.0,0.417,11.7,13.0,0.897,6.0,3.7,35.7,,jordami01,SG,3.0,42.7,0.7,1.7,11.0,26.3,2.3,4.7,7.0,2.0,2.3,2.7,0.4,0.418,0.429
1987-88,24.0,CHI,NBA,10.0,13.8,26.0,0.531,8.6,9.9,0.869,4.7,3.8,36.3,,jordami01,SG,10.0,42.7,0.1,0.3,13.7,25.7,2.3,4.8,7.1,2.4,1.1,3.9,0.333,0.533,0.533
1988-89,25.0,CHI,NBA,17.0,11.7,22.9,0.51,10.8,13.5,0.799,7.6,3.8,34.8,,jordami01,SG,17.0,42.2,0.6,2.1,11.1,20.9,1.5,5.5,7.0,2.5,0.8,4.0,0.286,0.532,0.523
1989-90,26.0,CHI,NBA,16.0,13.7,26.6,0.514,8.3,9.9,0.836,6.8,3.4,36.7,,jordami01,SG,16.0,42.1,1.0,3.1,12.7,23.5,1.5,5.7,7.2,2.8,0.9,3.5,0.32,0.54,0.533
1990-91,27.0,CHI,NBA,17.0,11.6,22.1,0.524,7.4,8.7,0.845,8.4,3.1,31.1,Finals MVP-1,jordami01,SG,17.0,40.5,0.6,1.5,11.0,20.6,1.1,5.3,6.4,2.4,1.4,2.5,0.385,0.534,0.537
1991-92,28.0,CHI,NBA,22.0,13.2,26.4,0.499,7.4,8.6,0.857,5.8,2.8,34.5,Finals MVP-1,jordami01,SG,22.0,41.8,0.8,2.0,12.4,24.4,1.7,4.5,6.2,2.0,0.7,3.7,0.386,0.508,0.514
1992-93,29.0,CHI,NBA,19.0,13.2,27.8,0.475,7.2,8.9,0.805,6.0,3.1,35.1,Finals MVP-1,jordami01,SG,19.0,41.2,1.5,3.8,11.7,24.0,1.7,5.1,6.7,2.1,0.9,2.4,0.389,0.489,0.502
,,,,,,,,,,,,,,,jordami01,,,,,,,,,,,,,,,,
1994-95,31.0,CHI,NBA,10.0,12.0,24.8,0.484,6.4,7.9,0.81,4.5,3.0,31.5,,jordami01,SG,10.0,42.0,1.1,3.0,10.9,21.8,2.0,4.5,6.5,2.3,1.4,4.1,0.367,0.5,0.506
1995-96,32.0,CHI,NBA,18.0,10.4,22.6,0.459,8.5,10.4,0.818,4.1,2.7,30.7,Finals MVP-1,jordami01,SG,18.0,40.7,1.4,3.4,9.0,19.2,1.7,3.2,4.9,1.8,0.3,2.3,0.403,0.47,0.49
1996-97,33.0,CHI,NBA,19.0,11.9,26.2,0.456,6.5,7.8,0.831,4.8,2.4,31.1,Finals MVP-1,jordami01,SG,19.0,42.3,0.7,3.5,11.3,22.7,2.2,5.7,7.9,1.6,0.9,2.6,0.194,0.497,0.469
1997-98,34.0,CHI,NBA,21.0,11.6,25.0,0.462,8.6,10.6,0.812,3.5,2.2,32.4,Finals MVP-1,jordami01,SG,21.0,41.5,0.6,2.0,11.0,23.0,1.6,3.5,5.1,1.5,0.6,2.1,0.302,0.476,0.474
2023-24,21.0,ORL,NBA,3.0,0.3,0.7,0.5,0.0,0.0,,0.0,0.0,1.0,,houstca01,SF,0.0,4.7,0.3,0.7,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.5,,0.75
2024-25,22.0,ORL,NBA,5.0,0.4,2.8,0.143,0.0,0.0,,0.2,0.6,1.2,,houstca01,SF,0.0,9.4,0.4,2.0,0.0,0.8,0.4,0.4,0.8,0.0,0.2,0.4,0.2,0.0,0.214
1974-75,23.0,SEA,NBA,9.0,4.8,10.3,0.462,1.6,2.9,0.538,7.1,3.3,11.1,,wattssl01,PG,,31.3,,,,,1.1,2.6,3.7,3.0,0.4,,,,
1975-76,24.0,SEA,NBA,6.0,5.0,11.5,0.435,1.8,3.8,0.478,8.2,4.7,11.8,,wattssl01,PG,,32.8,,,,,0.8,2.2,3.0,2.0,0.3,,,,
,,,,,,,,,,,,,,,wattssl01,,,,,,,,,,,,,,,,
1978-79,27.0,HOU,NBA,2.0,3.0,7.5,0.4,1.0,1.5,0.667,3.5,4.0,7.0,,wattssl01,PG,,21.5,,,,,2.0,1.5,3.5,2.0,0.5,3.5,,,
1975-76,20.0,DET,NBA,9.0,5.3,11.7,0.457,1.9,2.3,0.81,5.7,4.0,12.6,,moneyer01,PG,,30.3,,,,,1.1,1.3,2.4,1.6,0.1,,,,
