Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,% of FGA by Distance,% of FGA by Distance.1,% of FGA by Distance.2,% of FGA by Distance.3,% of FGA by Distance.4,% of FGA by Distance.5,FG% by Distance,FG% by Distance.1,FG% by Distance.2,FG% by Distance.3,FG% by Distance.4,FG% by Distance.5,% of FG Ast'd,% of FG Ast'd.1,Dunks,Dunks.1,Corner 3s,Corner 3s.1,Heaves,Heaves.1,Unnamed: 31,player_id,Unnamed: 22,Unnamed: 27,Unnamed: 19,Unnamed: 24,Unnamed: 21,Unnamed: 25,Unnamed: 28,Unnamed: 12,Unnamed: 20,Unnamed: 17,Unnamed: 23,Unnamed: 29,Unnamed: 30,Unnamed: 26,Unnamed: 18
2019-20,23,POR,NBA,PG,3,0,21,.333,13.1,.556,.333,.222,.000,.000,.444,.600,1.000,.000,.000,,,,,.000,0,,,0,0,,adamsja01,,,,.000,.333,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,edwaran01,,,,,,,,,,,,,,,
2021-22,20,MIN,NBA,SG,6,6,227,.455,16.5,.482,.191,.155,.055,.082,.518,.509,.667,.294,.500,.556,.404,.296,.565,.036,4,.158,.444,0,0,,edwaran01,,,,,,,,,,,,,,,
2022-23,21,MIN,NBA,SG,5,5,199,.482,14.3,.623,.211,.228,.088,.096,.377,.563,.625,.577,.500,.455,.349,.225,.533,.009,1,.140,.167,1,0,,edwaran01,,,,,,,,,,,,,,,
2023-24,22,MIN,NBA,SG,16,16,649,.481,14.3,.645,.275,.114,.167,.090,.355,.526,.663,.324,.463,.483,.400,.236,.435,.052,15,.096,.545,1,0,,edwaran01,,,,,,,,,,,,,,,
2024-25,23,MIN,NBA,SG,15,15,585,.453,15.2,.564,.238,.205,.057,.064,.436,.530,.620,.492,.471,.368,.354,.382,.609,.034,9,.100,.462,3,0,,edwaran01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,beysa01,,,,,,,,,,,,,,,
2022-23,23,ATL,NBA,SF,6,0,133,.375,15.0,.550,.175,.250,.050,.075,.450,.364,.571,.300,.500,.000,.389,.625,1.000,.050,1,.389,.429,0,0,,beysa01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,majerda01,,,,,,,,,,,,,,,
1996-97,31,MIA,NBA,SF,17,2,496,.393,17.8,.368,.274,.068,.009,.017,.632,.488,.594,.250,.000,.000,.338,.429,.880,.034,4,.122,.111,1,0,,majerda01,,,,,,,,,,,,,,,
1997-98,32,MIA,NBA,SG,2,2,62,.375,19.1,.250,.125,.125,.000,.000,.750,.500,1.000,.000,,,.333,.000,1.000,.000,0,.500,.667,0,0,,majerda01,,,,,,,,,,,,,,,
1998-99,33,MIA,NBA,SG,5,5,152,.192,22.1,.154,.077,.038,.000,.038,.846,.000,.000,.000,,.000,.227,,1.000,.000,0,.455,.100,0,0,,majerda01,,,,,,,,,,,,,,,
1999-00,34,MIA,NBA,SG,10,10,372,.423,19.4,.296,.155,.085,.028,.028,.704,.476,.727,.333,.000,.000,.400,.700,.850,.014,1,.200,.500,0,0,,majerda01,,,,,,,,,,,,,,,
2000-01,35,MIA,NBA,SG,3,0,71,.313,21.8,.125,.125,.000,.000,.000,.875,.500,.500,,,,.286,.000,.750,.000,0,.143,.000,0,0,,majerda01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,16-3P,3P,,,,%FGA,#,,,Att.,Md.,,westdo01,2P,,,,,%3PA,Awards,,,,,,,,
