Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,player_id
1996-97,25.0,POR,NBA,SG,4.0,4.0,161.0,16.0,43.0,0.372,6.0,16.0,0.375,10.0,27.0,0.37,0.442,15.0,17.0,0.882,1.0,7.0,8.0,17.0,3.0,0.0,12.0,11.0,53.0,0.0,,rideris01
1997-98,26.0,POR,NBA,SG,4.0,4.0,166.0,28.0,67.0,0.418,1.0,11.0,0.091,27.0,56.0,0.482,0.425,20.0,26.0,0.769,7.0,13.0,20.0,17.0,5.0,0.0,16.0,11.0,77.0,0.0,,rideris01
1998-99,27.0,POR,NBA,SG,13.0,13.0,426.0,70.0,163.0,0.429,11.0,26.0,0.423,59.0,137.0,0.431,0.463,63.0,71.0,0.887,17.0,33.0,50.0,31.0,11.0,0.0,33.0,30.0,214.0,0.0,,rideris01
2021-22,22.0,CHI,NBA,SF,3.0,0.0,37.0,5.0,17.0,0.294,2.0,11.0,0.182,3.0,6.0,0.5,0.353,0.0,0.0,,1.0,7.0,8.0,3.0,2.0,0.0,3.0,2.0,12.0,0.0,,browntr01
2022-23,23.0,LAL,NBA,SF,12.0,0.0,124.0,10.0,28.0,0.357,2.0,15.0,0.133,8.0,13.0,0.615,0.393,0.0,0.0,,4.0,20.0,24.0,11.0,2.0,1.0,0.0,4.0,22.0,0.0,,browntr01
1946-47,23.0,CLR,BAA,,2.0,,,4.0,18.0,0.222,,,,,,,,1.0,1.0,1.0,,,,0.0,,,,4.0,9.0,0.0,,lefkoha01
1949-50,29.0,AND,NBA,,7.0,,,9.0,37.0,0.243,,,,,,,,7.0,10.0,0.7,,,,9.0,,,,15.0,25.0,0.0,,gatesfr01
2013-14,23.0,DAL,NBA,SF,7.0,0.0,81.0,8.0,18.0,0.444,3.0,7.0,0.429,5.0,11.0,0.455,0.528,0.0,0.0,,4.0,8.0,12.0,2.0,2.0,1.0,3.0,13.0,19.0,0.0,,crowdja01
2014-15,24.0,BOS,NBA,SF,4.0,1.0,100.0,15.0,29.0,0.517,3.0,10.0,0.3,12.0,19.0,0.632,0.569,10.0,13.0,0.769,8.0,12.0,20.0,8.0,4.0,3.0,5.0,14.0,43.0,0.0,,crowdja01
2015-16,25.0,BOS,NBA,SF,6.0,6.0,197.0,20.0,72.0,0.278,10.0,41.0,0.244,10.0,31.0,0.323,0.347,7.0,11.0,0.636,5.0,34.0,39.0,13.0,9.0,3.0,7.0,17.0,57.0,0.0,,crowdja01
2016-17,26.0,BOS,NBA,SF,18.0,18.0,596.0,87.0,200.0,0.435,31.0,88.0,0.352,56.0,112.0,0.5,0.513,40.0,48.0,0.833,20.0,95.0,115.0,48.0,19.0,6.0,12.0,52.0,245.0,0.0,,crowdja01
2017-18,27.0,UTA,NBA,SF,11.0,2.0,323.0,35.0,108.0,0.324,22.0,66.0,0.333,13.0,42.0,0.31,0.426,18.0,28.0,0.643,4.0,52.0,56.0,19.0,15.0,2.0,14.0,25.0,110.0,0.0,,crowdja01
2018-19,28.0,UTA,NBA,SF,5.0,3.0,130.0,17.0,46.0,0.37,9.0,30.0,0.3,8.0,16.0,0.5,0.467,14.0,19.0,0.737,4.0,25.0,29.0,4.0,5.0,0.0,1.0,7.0,57.0,0.0,,crowdja01
2019-20,29.0,MIA,NBA,PF,21.0,21.0,660.0,81.0,201.0,0.403,55.0,161.0,0.342,26.0,40.0,0.65,0.54,35.0,46.0,0.761,11.0,106.0,117.0,39.0,14.0,12.0,15.0,55.0,252.0,0.0,,crowdja01
