Date,Team,Unnamed: 3,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,player_id
2025-05-12,GSW,,MIN,"L, 110-117",,7,1,3,0.333,1,3,0.333,0,0,,0,1,1,3,0,0,0,2,3,2.9,11.0,moodymo01
2025-05-10,GSW,,MIN,"L, 97-102",,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7.0,moodymo01
2025-05-08,GSW,@,MIN,"L, 93-117",,16,0,5,0.0,0,4,0.0,3,4,0.75,0,2,2,1,0,0,1,2,3,-1.4,-13.0,moodymo01
2025-05-06,GSW,@,MIN,"W, 99-88",,9,0,4,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-2.8,-14.0,moodymo01
2025-04-06,TOR,@,BRK,"W, 120-109",*,18,2,6,0.333,2,6,0.333,2,2,1.0,2,3,5,2,2,1,2,3,8,7.8,8.0,walteja01
2025-04-04,TOR,,DET,"L, 105-117",*,32,8,14,0.571,4,7,0.571,2,2,1.0,1,2,3,1,3,0,2,2,22,17.6,0.0,walteja01
2025-04-03,TOR,,POR,"L, 103-112",*,30,3,9,0.333,1,4,0.25,2,2,1.0,3,4,7,3,1,0,1,3,9,8.1,6.0,walteja01
2025-04-01,TOR,@,CHI,"L, 118-137",*,27,6,10,0.6,5,5,1.0,0,0,,2,2,4,4,1,0,2,1,17,15.8,-12.0,walteja01
2025-03-30,TOR,@,PHI,"W, 127-109",*,34,5,11,0.455,3,5,0.6,4,4,1.0,3,5,8,4,3,1,1,1,17,20.0,1.0,walteja01
2025-05-31,IND,,NYK,"W, 125-108",*,21,4,6,0.667,2,3,0.667,1,1,1.0,0,2,2,0,0,0,1,5,11,6.0,11.0,turnemy01
2025-05-29,IND,@,NYK,"L, 94-111",*,24,2,3,0.667,1,2,0.5,0,0,,1,1,2,2,0,3,4,3,5,3.0,-20.0,turnemy01
2025-05-27,IND,,NYK,"W, 130-121",*,33,5,8,0.625,1,3,0.333,2,3,0.667,1,2,3,1,0,3,4,6,13,6.7,0.0,turnemy01
2025-05-25,IND,,NYK,"L, 100-106",*,33,6,12,0.5,1,6,0.167,6,8,0.75,1,3,4,3,1,2,1,5,19,15.3,-2.0,turnemy01
2025-05-23,IND,@,NYK,"W, 114-109",*,33,5,10,0.5,1,4,0.25,5,7,0.714,1,2,3,1,1,2,1,2,16,12.8,17.0,turnemy01
2025-04-13,LAL,@,POR,"L, 81-109",*,33,5,10,0.5,1,3,0.333,0,0,,0,4,4,6,1,1,2,4,11,9.5,-17.0,morrima02
2025-03-22,LAL,,CHI,"L, 115-146",,7,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.7,-8.0,morrima02
2025-03-20,LAL,,MIL,"L, 89-118",*,28,3,11,0.273,1,7,0.143,2,2,1.0,1,3,4,2,0,1,0,2,9,5.4,7.0,morrima02
2025-03-14,LAL,@,DEN,"L, 126-131",,24,3,11,0.273,1,4,0.25,0,0,,2,3,5,3,0,0,0,2,7,4.1,-5.0,morrima02
2025-03-13,LAL,@,MIL,"L, 106-126",,12,1,4,0.25,1,2,0.5,1,2,0.5,0,1,1,2,0,0,0,3,4,1.7,0.0,morrima02
2025-03-17,UTA,,CHI,"L, 97-111",*,24,7,16,0.438,1,8,0.125,1,1,1.0,0,2,2,1,0,1,1,1,16,8.2,-17.0,markkla01
2025-03-16,UTA,@,MIN,"L, 102-128",*,26,5,12,0.417,4,11,0.364,2,2,1.0,0,1,1,2,0,0,3,1,16,7.9,-22.0,markkla01
2025-03-14,UTA,,TOR,"L, 118-126",*,19,5,14,0.357,4,8,0.5,2,2,1.0,0,5,5,0,0,0,2,1,16,7.3,10.0,markkla01
2025-03-12,UTA,@,MEM,"L, 115-122",*,28,5,14,0.357,3,9,0.333,1,1,1.0,1,5,6,0,0,0,1,0,14,7.4,-4.0,markkla01
2025-02-22,UTA,,HOU,"W, 124-115",*,32,8,19,0.421,3,10,0.3,4,4,1.0,2,8,10,0,0,0,1,2,23,14.9,2.0,markkla01
2025-04-13,TOR,@,SAS,"L, 118-125",*,38,6,15,0.4,2,8,0.25,0,0,,1,1,2,1,4,1,1,5,14,9.3,-10.0,agbajoc01
