Highlight,Unnamed: 2,In Stathead,player_id
"Career high, Rebounds",17.0,View full stats from top 20 games,monroea01
"Career high, Assists",13.0,View full stats from top 20 games,monroea01
"Career high, Steals",5.0,View full stats from top 20 games,monroea01
"Career high, Blocks",3.0,View full stats from top 20 games,monroea01
"Career high, Game Score",33.2,View full stats from top 20 games,monroea01
"Career high, Points",36.0,View full stats from top 20 games,casspom01
"Career high, Rebounds",17.0,View full stats from top 20 games,casspom01
"Career high, Assists",7.0,View full stats from top 20 games,casspom01
"Career high, Steals",6.0,View full stats from top 20 games,casspom01
"Career high, Blocks",3.0,View full stats from top 20 games,casspom01
"Career high, Game Score",24.7,View full stats from top 20 games,casspom01
"Career high, Points",6.0,View full stats from top 20 games,martife01
"Career high, Rebounds",7.0,View full stats from top 20 games,martife01
"Career high, Assists",2.0,View full stats from top 20 games,martife01
"Career high, Steals",1.0,View full stats from top 20 games,martife01
"Career high, Blocks",1.0,View full stats from top 20 games,martife01
"Career high, Game Score",5.2,View full stats from top 20 games,martife01
"Career high, Points",28.0,View full stats from top 20 games,torreos01
"Career high, Rebounds",7.0,View full stats from top 20 games,torreos01
"Career high, Assists",4.0,View full stats from top 20 games,torreos01
"Career high, Steals",2.0,View full stats from top 20 games,torreos01
"Career high, Blocks",2.0,View full stats from top 20 games,torreos01
"Career high, Game Score",24.8,View full stats from top 20 games,torreos01
"Career high, Points",39.0,View full stats from top 20 games,lewismi01
"Career high, Rebounds",31.0,View full stats from top 20 games,lewismi01
"Career high, Assists",14.0,View full stats from top 20 games,lewismi01
Triple-Doubles,3.0,View all,lewismi01
"Career high, Points",19.0,View full stats from top 20 games,donovha01
"Career high, Assists",3.0,View full stats from top 20 games,donovha01
"Career high, Points",11.0,View full stats from top 20 games,fernser01
"Career high, Rebounds",9.0,View full stats from top 20 games,fernser01
"Career high, Assists",5.0,View full stats from top 20 games,fernser01
"Career high, Steals",3.0,View full stats from top 20 games,fernser01
