Highlight,Unnamed: 2,In Stathead,player_id
"Career high, Assists",4.0,View full stats from top 20 games,ruklijo01
"Career high, Points",8.0,View full stats from top 20 games,silerga01
"Career high, Rebounds",5.0,View full stats from top 20 games,silerga01
"Career high, Assists",1.0,View full stats from top 20 games,silerga01
"Career high, Steals",1.0,View full stats from top 20 games,silerga01
"Career high, Blocks",2.0,View full stats from top 20 games,silerga01
"Career high, Game Score",7.4,View full stats from top 20 games,silerga01
"Career high, Points",22.0,View full stats from top 20 games,poweljo01
"Career high, Rebounds",13.0,View full stats from top 20 games,poweljo01
"Career high, Assists",5.0,View full stats from top 20 games,poweljo01
"Career high, Steals",2.0,View full stats from top 20 games,poweljo01
"Career high, Blocks",3.0,View full stats from top 20 games,poweljo01
"Career high, Game Score",17.7,View full stats from top 20 games,poweljo01
"Career high, Points",7.0,View full stats from top 20 games,smithed01
"Career high, Rebounds",4.0,View full stats from top 20 games,smithed01
"Career high, Assists",2.0,View full stats from top 20 games,smithed01
"Career high, Points",11.0,View full stats from top 20 games,grundan01
"Career high, Rebounds",6.0,View full stats from top 20 games,grundan01
"Career high, Assists",2.0,View full stats from top 20 games,grundan01
"Career high, Steals",3.0,View full stats from top 20 games,grundan01
"Career high, Game Score",6.3,View full stats from top 20 games,grundan01
"Career high, Points",32.0,View full stats from top 20 games,collido02
"Career high, Rebounds",14.0,View full stats from top 20 games,collido02
"Career high, Assists",8.0,View full stats from top 20 games,collido02
"Career high, Steals",6.0,View full stats from top 20 games,collido02
"Career high, Blocks",4.0,View full stats from top 20 games,collido02
"Career high, Game Score",28.1,View full stats from top 20 games,collido02
"Career high, Points",24.0,View full stats from top 20 games,drewbr01
"Career high, Rebounds",6.0,View full stats from top 20 games,drewbr01
"Career high, Assists",11.0,View full stats from top 20 games,drewbr01
"Career high, Steals",4.0,View full stats from top 20 games,drewbr01
"Career high, Blocks",2.0,View full stats from top 20 games,drewbr01
"Career high, Game Score",17.5,View full stats from top 20 games,drewbr01
"Career high, Points",40.0,View full stats from top 20 games,moneyer01
"Career high, Rebounds",11.0,View full stats from top 20 games,moneyer01
"Career high, Assists",15.0,View full stats from top 20 games,moneyer01
"Career high, Steals",7.0,View full stats from top 20 games,moneyer01
"Career high, Blocks",3.0,View full stats from top 20 games,moneyer01
