Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,% of FGA by Distance,% of FGA by Distance.1,% of FGA by Distance.2,% of FGA by Distance.3,% of FGA by Distance.4,% of FGA by Distance.5,FG% by Distance,FG% by Distance.1,FG% by Distance.2,FG% by Distance.3,FG% by Distance.4,FG% by Distance.5,% of FG Ast'd,% of FG Ast'd.1,Dunks,Dunks.1,Corner 3s,Corner 3s.1,Heaves,Heaves.1,Unnamed: 31,player_id,Unnamed: 12,Unnamed: 20,Unnamed: 25,Unnamed: 22,Unnamed: 28,Unnamed: 23,Unnamed: 26,Unnamed: 29,Unnamed: 30,Unnamed: 21,Unnamed: 27,Unnamed: 19,Unnamed: 24,Unnamed: 17,Unnamed: 18
2007-08,30,TOR,NBA,PF,7,0,74,.320,22.4,.360,.040,.000,.000,.320,.640,.222,.000,,,.250,.375,1.000,1.000,.000,0,.313,.200,0,0,,garbajo01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,jonesty01,,,,,,,,,,,,,,,
2015-16,19,MIN,NBA,PG,37,0,573,.359,13.5,.660,.205,.231,.096,.128,.340,.388,.531,.389,.200,.300,.302,.275,.625,.000,0,.189,.300,0,0,,jonesty01,,,,,,,,,,,,,,,
2016-17,20,MIN,NBA,PG,60,0,774,.414,14.9,.597,.227,.171,.088,.110,.403,.454,.537,.452,.500,.250,.356,.347,.885,.000,0,.315,.348,1,0,,jonesty01,,,,,,,,,,,,,,,
2017-18,21,MIN,NBA,PG,82,11,1467,.457,14.0,.607,.229,.186,.113,.079,.393,.528,.680,.377,.514,.462,.349,.381,.933,.009,2,.333,.372,2,0,,jonesty01,,,,,,,,,,,,,,,
2018-19,22,MIN,NBA,PG,68,23,1560,.415,13.2,.717,.213,.222,.173,.110,.283,.453,.558,.455,.364,.388,.317,.228,.650,.000,0,.214,.407,1,0,,jonesty01,,,,,,,,,,,,,,,
2019-20,23,MEM,NBA,PG,65,6,1232,.459,13.6,.711,.175,.242,.198,.096,.289,.492,.653,.423,.435,.488,.379,.387,.745,.000,0,.177,.500,0,0,,jonesty01,,,,,,,,,,,,,,,
2020-21,24,MEM,NBA,PG,70,9,1222,.431,14.2,.661,.133,.225,.257,.046,.339,.487,.527,.484,.500,.316,.321,.293,.911,.000,0,.300,.310,0,0,,jonesty01,,,,,,,,,,,,,,,
2021-22,25,MEM,NBA,PG,73,23,1549,.451,15.0,.629,.098,.241,.241,.045,.371,.487,.593,.496,.459,.360,.390,.367,.813,.000,0,.200,.390,0,0,6MOY-11,jonesty01,,,,,,,,,,,,,,,
2022-23,26,MEM,NBA,PG,80,22,1940,.438,16.6,.541,.085,.182,.235,.039,.459,.495,.600,.488,.473,.429,.371,.284,.793,.000,0,.202,.530,0,0,6MOY-6,jonesty01,,,,,,,,,,,,,,,
2023-24,27,WAS,NBA,PG,66,66,1933,.489,14.8,.616,.111,.297,.174,.033,.384,.537,.635,.490,.560,.500,.414,.418,.792,.000,0,.246,.476,0,0,,jonesty01,,,,,,,,,,,,,,,
2024-25,28,PHO,NBA,PG,81,58,2174,.448,18.3,.413,.060,.174,.160,.019,.587,.496,.780,.479,.422,.385,.414,.393,.873,.000,0,.344,.500,0,0,,jonesty01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,griffad01,,,,,,,,,,,,,,,
1999-00,25,BOS,NBA,SG,72,47,1927,.424,10.9,.862,.346,.194,.102,.220,.138,.447,.552,.413,.262,.396,.281,.434,1.000,.015,6,.561,.313,1,0,,griffad01,,,,,,,,,,,,,,,
