Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,% of FGA by Distance,% of FGA by Distance.1,% of FGA by Distance.2,% of FGA by Distance.3,% of FGA by Distance.4,% of FGA by Distance.5,FG% by Distance,FG% by Distance.1,FG% by Distance.2,FG% by Distance.3,FG% by Distance.4,FG% by Distance.5,% of FG Ast'd,% of FG Ast'd.1,Dunks,Dunks.1,Corner 3s,Corner 3s.1,Heaves,Heaves.1,Unnamed: 31,player_id,Unnamed: 12,Unnamed: 20,Unnamed: 25,Unnamed: 22,Unnamed: 28,Unnamed: 23,Unnamed: 26,Unnamed: 29,Unnamed: 30,Unnamed: 21,Unnamed: 27,Unnamed: 19,Unnamed: 24,Unnamed: 17,Unnamed: 18
2022-23,26,MIN,NBA,PG,54,54,1778,.465,17.8,.479,.118,.124,.147,.089,.521,.546,.698,.511,.477,.508,.391,.311,.649,.000,0,.113,.349,0,0,,russeda01,,,,,,,,,,,,,,,
2022-23,26,LAL,NBA,PG,17,17,526,.484,16.6,.498,.163,.181,.086,.068,.502,.555,.778,.450,.526,.333,.414,.328,.783,.000,0,.063,.714,0,0,,russeda01,,,,,,,,,,,,,,,
2023-24,27,LAL,NBA,PG,76,69,2484,.456,17.4,.495,.109,.205,.115,.067,.505,.497,.788,.403,.460,.375,.415,.383,.735,.001,1,.127,.406,5,0,,russeda01,,,,,,,,,,,,,,,
2024-25,28,2TM,NBA,PG,58,36,1480,.390,18.4,.436,.100,.176,.121,.039,.564,.489,.703,.491,.377,.280,.314,.449,.584,.002,0,.089,.281,2,0,,russeda01,,,,,,,,,,,,,,,
2024-25,28,LAL,NBA,PG,29,10,763,.415,17.7,.460,.132,.167,.119,.042,.540,.510,.659,.500,.432,.308,.333,.425,.643,.003,0,.095,.313,1,0,,russeda01,,,,,,,,,,,,,,,
2024-25,28,BRK,NBA,PG,29,26,717,.367,19.0,.413,.070,.183,.122,.037,.587,.467,.783,.483,.325,.250,.297,.476,.526,.000,0,.083,.250,1,0,,russeda01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,mclaujo01,,,,,,,,,,,,,,,
2019-20,23,MIN,NBA,PG,30,2,590,.489,13.4,.573,.365,.185,.017,.006,.427,.569,.646,.394,1.000,.000,.382,.328,.759,.045,7,.118,.444,4,0,,mclaujo01,,,,,,,,,,,,,,,
2020-21,24,MIN,NBA,PG,51,2,938,.413,12.2,.620,.351,.223,.037,.008,.380,.447,.518,.333,.556,.000,.359,.373,.909,.025,4,.250,.304,0,0,,mclaujo01,,,,,,,,,,,,,,,
2021-22,25,MIN,NBA,PG,62,3,902,.440,13.3,.575,.290,.230,.050,.005,.425,.530,.707,.326,.400,1.000,.318,.492,.852,.015,3,.365,.516,3,0,,mclaujo01,,,,,,,,,,,,,,,
2022-23,26,MIN,NBA,PG,43,0,678,.421,16.7,.462,.166,.241,.034,.021,.538,.552,.708,.457,.400,.667,.308,.730,.833,.000,0,.295,.391,5,0,,mclaujo01,,,,,,,,,,,,,,,
2023-24,27,MIN,NBA,PG,56,0,626,.483,17.0,.386,.214,.117,.028,.028,.614,.500,.613,.353,.000,.750,.472,.643,.976,.000,0,.494,.432,1,1,,mclaujo01,,,,,,,,,,,,,,,
2024-25,28,2TM,NBA,PG,46,0,314,.431,19.5,.361,.097,.139,.083,.042,.639,.462,.571,.400,.333,.667,.413,.417,.684,.000,0,.283,.231,1,0,,mclaujo01,,,,,,,,,,,,,,,
2024-25,28,SAC,NBA,PG,28,0,190,.364,18.8,.409,.114,.159,.091,.045,.591,.333,.400,.286,.250,.500,.385,.500,.500,.000,0,.385,.200,1,0,,mclaujo01,,,,,,,,,,,,,,,
2024-25,28,SAS,NBA,PG,18,0,124,.536,20.2,.286,.071,.107,.071,.036,.714,.750,1.000,.667,.500,1.000,.450,.333,.889,.000,0,.150,.333,0,0,,mclaujo01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,campbel01,,,,,,,,,,,,,,,
1996-97,28,LAL,NBA,PF,77,77,2516,.469,8.1,.996,.446,.338,.195,.017,.004,.470,.521,.434,.424,.375,.250,.644,1.000,.089,80,.250,.000,0,0,,campbel01,,,,,,,,,,,,,,,
1997-98,29,LAL,NBA,PF,81,28,1784,.463,7.4,.997,.353,.446,.183,.016,.003,.463,.641,.392,.325,.100,.500,.590,.000,.114,64,.500,.000,0,0,,campbel01,,,,,,,,,,,,,,,
1998-99,30,2TM,NBA,C,49,33,1459,.477,7.9,.998,.284,.449,.219,.043,.002,.478,.614,.378,.529,.400,.000,.698,,.088,32,.000,,0,0,,campbel01,,,,,,,,,,,,,,,
1998-99,30,LAL,NBA,C,17,1,325,.436,8.1,1.000,.416,.356,.168,.059,.000,.436,.548,.306,.412,.500,,.500,,.129,9,,,0,0,,campbel01,,,,,,,,,,,,,,,
1998-99,30,CHH,NBA,C,32,32,1134,.489,7.7,.997,.247,.475,.234,.038,.003,.490,.644,.393,.553,.357,.000,.747,,.077,23,.000,,0,0,,campbel01,,,,,,,,,,,,,,,
1999-00,31,CHH,NBA,C,78,77,2538,.446,8.4,.993,.281,.388,.251,.072,.007,.450,.618,.401,.346,.417,.000,.735,,.086,65,.167,.000,0,0,,campbel01,,,,,,,,,,,,,,,
2000-01,32,CHH,NBA,PF,78,78,2337,.440,8.0,.993,.282,.324,.283,.104,.007,.443,.587,.407,.360,.391,.000,.728,,.078,54,.000,,1,0,,campbel01,,,,,,,,,,,,,,,
2001-02,33,CHH,NBA,PF,77,74,2156,.484,7.8,.997,.314,.282,.270,.132,.003,.485,.614,.487,.350,.448,.000,.604,,.076,54,.500,.000,0,0,,campbel01,,,,,,,,,,,,,,,
2002-03,34,2TM,NBA,C,56,1,869,.397,8.4,.997,.227,.325,.281,.163,.003,.398,.522,.344,.337,.438,.000,.684,,.041,9,1.000,.000,0,0,,campbel01,,,,,,,,,,,,,,,
2002-03,34,NOH,NBA,C,41,1,685,.409,9.0,.996,.231,.308,.283,.174,.004,.411,.491,.408,.343,.419,.000,.663,,.040,7,1.000,.000,0,0,,campbel01,,,,,,,,,,,,,,,
2002-03,34,SEA,NBA,C,15,0,184,.333,7.8,1.000,.208,.417,.271,.104,.000,.333,.700,.100,.308,.600,,.813,,.042,2,,,0,0,,campbel01,,,,,,,,,,,,,,,
2003-04,35,DET,NBA,C,65,27,892,.439,8.4,1.000,.309,.210,.331,.150,.000,.439,.485,.409,.452,.362,,.790,,.083,24,,,0,0,,campbel01,,,,,,,,,,,,,,,
2004-05,36,2TM,NBA,C,40,1,390,.317,7.4,.984,.341,.195,.350,.098,.016,.322,.405,.292,.279,.250,.000,.718,,.081,7,.000,,1,0,,campbel01,,,,,,,,,,,,,,,
2004-05,36,NJN,NBA,C,10,0,50,.000,6.0,1.000,.429,.286,.286,.000,.000,.000,.000,.000,.000,,,,,.000,0,,,0,0,,campbel01,,,,,,,,,,,,,,,
2004-05,36,DET,NBA,C,30,1,340,.336,8.8,.983,.336,.190,.353,.103,.017,.342,.436,.318,.293,.250,.000,.718,,.086,7,.000,,1,0,,campbel01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,iguodan01,,,,,,,,,,,,,,,
2004-05,21,PHI,NBA,SG,82,82,2686,.493,10.3,.740,.462,.086,.077,.115,.260,.550,.698,.234,.333,.333,.331,.662,.957,.244,122,.507,.306,1,0,"ROY-4,DPOY-14",iguodan01,,,,,,,,,,,,,,,
2005-06,22,PHI,NBA,SF,82,82,3086,.500,9.5,.770,.480,.113,.080,.097,.230,.543,.645,.372,.364,.388,.354,.622,.929,.206,129,.570,.411,3,0,DPOY-12,iguodan01,,,,,,,,,,,,,,,
2006-07,23,PHI,NBA,SG,76,76,3062,.447,11.9,.844,.367,.054,.107,.315,.156,.472,.640,.259,.302,.372,.310,.468,.792,.126,120,.245,.263,2,0,DPOY-24,iguodan01,,,,,,,,,,,,,,,
2007-08,24,PHI,NBA,SF,82,82,3242,.456,14.1,.760,.280,.059,.106,.316,.240,.496,.689,.387,.289,.414,.329,.466,.772,.114,141,.290,.326,9,1,,iguodan01,,,,,,,,,,,,,,,
2008-09,25,PHI,NBA,SF,82,82,3269,.473,13.0,.772,.354,.053,.075,.290,.228,.521,.727,.279,.291,.375,.307,.491,.650,.137,153,.172,.289,5,1,DPOY-13,iguodan01,,,,,,,,,,,,,,,
2009-10,26,PHI,NBA,SF,82,82,3193,.443,14.5,.729,.276,.054,.116,.284,.271,.492,.683,.367,.308,.406,.310,.415,.809,.112,122,.165,.300,7,0,,iguodan01,,,,,,,,,,,,,,,
2010-11,27,PHI,NBA,SF,67,67,2469,.445,14.4,.762,.257,.078,.119,.308,.238,.479,.744,.254,.356,.363,.337,.448,.836,.140,102,.232,.476,4,0,"DPOY-8,DEF2",iguodan01,,,,,,,,,,,,,,,
2011-12,28,PHI,NBA,SF,62,62,2209,.454,15.5,.695,.229,.074,.084,.307,.305,.481,.752,.362,.434,.320,.394,.412,.750,.111,70,.187,.472,2,0,"DPOY-7,AS",iguodan01,,,,,,,,,,,,,,,
2012-13,29,DEN,NBA,SG,80,80,2779,.451,13.9,.673,.307,.093,.102,.171,.327,.515,.752,.329,.278,.333,.317,.541,.802,.159,134,.348,.260,4,0,DPOY-9,iguodan01,,,,,,,,,,,,,,,
2013-14,30,GSW,NBA,SF,63,63,2040,.480,14.2,.618,.301,.100,.087,.129,.382,.558,.725,.348,.425,.424,.354,.506,.887,.131,58,.394,.391,1,0,"DPOY-5,DEF1",iguodan01,,,,,,,,,,,,,,,
2014-15,31,GSW,NBA,SF,77,0,2069,.466,14.8,.573,.290,.071,.079,.133,.427,.553,.750,.286,.359,.379,.349,.643,.905,.141,64,.377,.325,6,0,6MOY-4,iguodan01,,,,,,,,,,,,,,,
2015-16,32,GSW,NBA,SF,65,1,1732,.478,14.5,.582,.310,.063,.073,.136,.418,.570,.728,.348,.407,.400,.351,.631,.944,.141,49,.377,.431,3,0,6MOY-2,iguodan01,,,,,,,,,,,,,,,
2016-17,33,GSW,NBA,SF,76,0,1998,.528,14.1,.573,.361,.043,.034,.133,.427,.651,.767,.333,.286,.545,.362,.703,.922,.195,76,.441,.372,2,0,6MOY-2,iguodan01,,,,,,,,,,,,,,,
2017-18,34,GSW,NBA,SF,64,7,1622,.463,13.7,.634,.313,.113,.081,.128,.366,.567,.760,.389,.385,.366,.282,.591,.848,.166,52,.179,.143,3,0,,iguodan01,,,,,,,,,,,,,,,
2018-19,35,GSW,NBA,SF,68,13,1578,.500,14.9,.523,.344,.050,.056,.073,.477,.652,.856,.200,.294,.273,.333,.757,.958,.228,69,.410,.407,1,0,6MOY-10,iguodan01,,,,,,,,,,,,,,,
2019-20,36,MIA,NBA,SF,21,0,418,.432,16.4,.466,.261,.068,.068,.068,.534,.585,.739,.333,.167,.667,.298,.667,.929,.080,7,.468,.318,1,0,,iguodan01,,,,,,,,,,,,,,,
2020-21,37,MIA,NBA,SF,63,5,1339,.383,20.3,.266,.149,.048,.032,.036,.734,.530,.649,.500,.250,.333,.330,.800,.933,.077,17,.478,.391,5,0,,iguodan01,,,,,,,,,,,,,,,
2021-22,38,GSW,NBA,SF,31,0,603,.380,18.1,.388,.207,.116,.025,.041,.612,.617,.760,.571,.000,.400,.230,.621,.941,.157,17,.338,.240,3,0,,iguodan01,,,,,,,,,,,,,,,
2022-23,39,GSW,NBA,PF,8,0,113,.467,15.9,.400,.267,.133,.000,.000,.600,1.000,1.000,1.000,,,.111,.667,1.000,.267,4,.222,.000,0,0,,iguodan01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,allenra02,,,,,,,,,,,,,,,
1996-97,21,MIL,NBA,SG,82,81,2532,.430,15.2,.672,.251,.098,.189,.133,.328,.448,.474,.461,.413,.438,.393,.388,.778,.025,21,.171,.490,3,1,,allenra02,,,,,,,,,,,,,,,
1997-98,22,MIL,NBA,SG,82,82,3287,.428,15.8,.720,.185,.100,.213,.223,.280,.453,.617,.282,.407,.437,.364,.385,.761,.030,35,.155,.386,14,1,,allenra02,,,,,,,,,,,,,,,
1998-99,23,MIL,NBA,SG,50,50,1719,.450,15.2,.691,.223,.108,.178,.181,.309,.492,.653,.479,.400,.393,.356,.419,.851,.048,31,.274,.456,2,0,,allenra02,,,,,,,,,,,,,,,
1999-00,24,MIL,NBA,SG,82,82,3070,.455,15.1,.712,.195,.128,.223,.166,.288,.468,.596,.414,.417,.427,.423,.421,.855,.043,54,.273,.459,12,0,AS,allenra02,,,,,,,,,,,,,,,
2000-01,25,MIL,NBA,SG,82,82,3129,.480,14.7,.643,.235,.086,.183,.140,.357,.506,.659,.429,.418,.410,.433,.437,.856,.027,31,.270,.500,1,0,"MVP-11,AS,NBA3",allenra02,,,,,,,,,,,,,,,
2001-02,26,MIL,NBA,SG,69,67,2525,.462,16.9,.540,.167,.089,.176,.108,.460,.485,.547,.461,.455,.460,.434,.449,.769,.028,27,.250,.447,8,0,AS,allenra02,,,,,,,,,,,,,,,
2002-03,27,2TM,NBA,SG,76,75,2880,.439,15.7,.609,.165,.127,.185,.132,.391,.478,.613,.370,.492,.394,.377,.327,.796,.020,25,.242,.364,4,0,,allenra02,,,,,,,,,,,,,,,
2002-03,27,MIL,NBA,SG,47,46,1683,.437,15.8,.613,.161,.123,.202,.127,.387,.463,.612,.303,.475,.412,.395,.412,.805,.017,14,.228,.310,3,0,,allenra02,,,,,,,,,,,,,,,
2002-03,27,SEA,NBA,SG,29,29,1197,.441,15.5,.604,.171,.132,.161,.139,.396,.500,.615,.459,.522,.372,.351,.213,.782,.023,11,.261,.431,1,0,,allenra02,,,,,,,,,,,,,,,
2003-04,28,SEA,NBA,SG,56,56,2152,.440,15.3,.628,.181,.138,.146,.164,.372,.468,.701,.329,.378,.407,.392,.371,.797,.021,20,.225,.447,3,0,AS,allenra02,,,,,,,,,,,,,,,
2004-05,29,SEA,NBA,SG,78,78,3064,.428,15.8,.628,.185,.103,.138,.201,.372,.459,.606,.364,.398,.415,.376,.311,.804,.021,27,.185,.369,5,0,"MVP-9,AS,NBA2",allenra02,,,,,,,,,,,,,,,
2005-06,30,SEA,NBA,SG,78,78,3022,.454,17.2,.565,.145,.100,.123,.197,.435,.486,.628,.400,.451,.447,.412,.337,.751,.011,16,.170,.432,4,0,AS,allenra02,,,,,,,,,,,,,,,
2006-07,31,SEA,NBA,SG,55,55,2219,.438,16.2,.616,.181,.090,.129,.215,.384,.479,.608,.365,.477,.419,.372,.306,.806,.008,9,.181,.363,3,0,AS,allenra02,,,,,,,,,,,,,,,
2007-08,32,BOS,NBA,SG,73,73,2624,.445,16.7,.542,.200,.080,.092,.169,.458,.485,.604,.329,.330,.503,.398,.537,.806,.009,9,.263,.403,3,0,AS,allenra02,,,,,,,,,,,,,,,
2008-09,33,BOS,NBA,SG,79,79,2876,.480,17.0,.533,.188,.058,.096,.191,.467,.542,.641,.517,.520,.462,.409,.540,.925,.003,3,.379,.478,0,0,AS,allenra02,,,,,,,,,,,,,,,
2009-10,34,BOS,NBA,SG,80,80,2819,.477,15.8,.590,.224,.085,.084,.196,.410,.556,.679,.410,.561,.476,.363,.643,.917,.010,10,.286,.316,0,0,,allenra02,,,,,,,,,,,,,,,
2010-11,35,BOS,NBA,SG,80,80,2890,.491,16.3,.613,.173,.085,.121,.235,.387,.520,.651,.482,.458,.470,.444,.622,.958,.015,14,.392,.514,0,0,AS,allenra02,,,,,,,,,,,,,,,
2011-12,36,BOS,NBA,SG,46,42,1565,.458,17.4,.525,.148,.085,.103,.189,.475,.463,.685,.405,.373,.366,.453,.642,.934,.006,2,.368,.500,0,0,,allenra02,,,,,,,,,,,,,,,
2012-13,37,MIA,NBA,SG,79,0,2035,.449,16.9,.490,.194,.083,.104,.109,.510,.480,.587,.463,.397,.380,.419,.497,.950,.006,3,.410,.463,0,0,,allenra02,,,,,,,,,,,,,,,
2013-14,38,MIA,NBA,SG,73,9,1936,.442,18.2,.431,.166,.063,.087,.118,.569,.530,.622,.471,.511,.438,.375,.516,.957,.011,6,.411,.425,3,1,,allenra02,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,butleca01,,,,,,,,,,,,,,,
2002-03,22,MIA,NBA,SF,78,78,2858,.416,10.5,.896,.354,.147,.154,.241,.104,.427,.548,.362,.302,.369,.318,.471,.824,.065,54,.271,.345,6,0,ROY-3,butleca01,,,,,,,,,,,,,,,
2003-04,23,MIA,NBA,SF,68,56,2030,.380,12.2,.933,.326,.103,.103,.401,.067,.390,.510,.292,.308,.340,.238,.674,.700,.035,21,.095,.250,9,0,,butleca01,,,,,,,,,,,,,,,
2004-05,24,LAL,NBA,SF,77,77,2746,.445,10.5,.874,.415,.091,.093,.275,.126,.465,.560,.389,.402,.370,.304,.620,.974,.078,69,.528,.348,5,0,,butleca01,,,,,,,,,,,,,,,
2005-06,25,WAS,NBA,SF,75,54,2708,.455,12.6,.890,.257,.155,.123,.355,.110,.469,.659,.351,.381,.413,.342,.488,.610,.045,49,.150,.278,3,0,,butleca01,,,,,,,,,,,,,,,
2006-07,26,WAS,NBA,SF,63,63,2474,.463,11.7,.926,.314,.127,.085,.400,.074,.480,.601,.363,.386,.441,.250,.446,.611,.059,54,.208,.400,4,1,"DPOY-21,AS",butleca01,,,,,,,,,,,,,,,
2007-08,27,WAS,NBA,SF,58,58,2314,.466,13.9,.804,.264,.095,.106,.338,.196,.492,.691,.322,.330,.436,.357,.418,.545,.065,61,.146,.407,2,0,AS,butleca01,,,,,,,,,,,,,,,
2008-09,28,WAS,NBA,SG,67,67,2585,.453,13.5,.806,.282,.100,.116,.308,.194,.487,.641,.422,.397,.401,.310,.408,.431,.027,29,.176,.297,5,0,,butleca01,,,,,,,,,,,,,,,
2009-10,29,2TM,NBA,SF,74,74,2783,.428,13.6,.862,.249,.104,.087,.422,.138,.450,.508,.358,.286,.473,.290,.488,.667,.034,32,.290,.286,5,0,,butleca01,,,,,,,,,,,,,,,
2009-10,29,WAS,NBA,SF,47,47,1853,.422,13.9,.863,.238,.121,.073,.431,.137,.447,.545,.333,.275,.455,.263,.474,.600,.032,21,.253,.375,4,0,,butleca01,,,,,,,,,,,,,,,
2009-10,29,DAL,NBA,SG,27,27,930,.440,13.3,.860,.272,.070,.112,.406,.140,.456,.443,.440,.300,.510,.340,.514,.765,.039,11,.360,.167,1,0,,butleca01,,,,,,,,,,,,,,,
2010-11,30,DAL,NBA,SF,29,29,867,.450,15.2,.828,.172,.101,.159,.397,.172,.454,.585,.342,.383,.453,.431,.662,.929,.019,7,.385,.400,3,0,,butleca01,,,,,,,,,,,,,,,
2011-12,31,LAC,NBA,SF,63,63,1871,.407,17.2,.635,.146,.081,.092,.316,.365,.435,.563,.316,.492,.390,.358,.667,.946,.028,16,.354,.363,1,0,,butleca01,,,,,,,,,,,,,,,
2012-13,32,LAC,NBA,SF,78,78,1879,.424,18.3,.542,.118,.072,.099,.253,.458,.454,.588,.404,.451,.407,.388,.718,.977,.029,16,.312,.447,0,0,,butleca01,,,,,,,,,,,,,,,
2013-14,33,2TM,NBA,SF,56,13,1419,.394,19.6,.539,.070,.041,.122,.306,.461,.395,.474,.318,.394,.388,.394,.565,.939,.004,2,.305,.395,1,0,,butleca01,,,,,,,,,,,,,,,
2013-14,33,MIL,NBA,SF,34,13,821,.387,18.8,.585,.096,.045,.119,.325,.415,.406,.471,.313,.405,.400,.361,.548,.943,.006,2,.224,.364,0,0,,butleca01,,,,,,,,,,,,,,,
2013-14,33,OKC,NBA,SF,22,0,598,.409,20.4,.452,.022,.032,.129,.269,.548,.369,.500,.333,.375,.360,.441,.613,.933,.000,0,.422,.419,1,0,,butleca01,,,,,,,,,,,,,,,
2014-15,34,DET,NBA,SF,78,21,1623,.407,20.4,.447,.063,.033,.078,.273,.553,.441,.520,.308,.484,.426,.379,.679,.928,.003,1,.228,.480,3,0,,butleca01,,,,,,,,,,,,,,,
2015-16,35,SAC,NBA,SF,17,1,176,.424,18.8,.695,.034,.051,.153,.458,.305,.537,.500,.667,.667,.481,.167,.636,1.000,.000,0,.278,.200,1,0,,butleca01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,poseyja01,,,,,,,,,,,,,,,
1999-00,23,DEN,NBA,SF,81,77,2052,.429,15.9,.590,.278,.069,.065,.177,.410,.468,.638,.270,.257,.358,.373,.628,.951,.093,44,.441,.402,1,0,,poseyja01,,,,,,,,,,,,,,,
2000-01,24,DEN,NBA,SF,82,82,2255,.412,13.2,.632,.358,.073,.061,.141,.368,.477,.564,.326,.500,.325,.300,.697,.923,.075,38,.465,.317,3,0,,poseyja01,,,,,,,,,,,,,,,
2001-02,25,DEN,NBA,SF,73,63,2238,.376,14.1,.678,.283,.076,.084,.235,.322,.421,.553,.357,.290,.329,.283,.710,.940,.092,56,.549,.338,3,0,,poseyja01,,,,,,,,,,,,,,,
2002-03,26,2TM,NBA,SF,83,71,2518,.411,12.9,.695,.339,.102,.080,.174,.305,.457,.604,.325,.217,.359,.306,.544,.843,.092,55,.432,.253,4,0,,poseyja01,,,,,,,,,,,,,,,
2002-03,26,DEN,NBA,SF,25,24,872,.373,13.5,.728,.250,.142,.105,.231,.272,.411,.593,.261,.265,.373,.273,.485,.708,.034,9,.398,.286,1,0,,poseyja01,,,,,,,,,,,,,,,
2002-03,26,HOU,NBA,SF,58,47,1646,.439,12.2,.671,.407,.072,.061,.131,.329,.495,.609,.419,.154,.339,.326,.585,.913,.136,46,.454,.234,3,0,,poseyja01,,,,,,,,,,,,,,,
2003-04,27,MEM,NBA,SG,82,82,2451,.478,12.4,.623,.370,.105,.053,.095,.377,.533,.646,.420,.293,.356,.386,.617,.875,.078,53,.410,.370,0,0,DPOY-10,poseyja01,,,,,,,,,,,,,,,
2004-05,28,MEM,NBA,SF,50,18,1382,.357,15.0,.500,.278,.096,.045,.081,.500,.404,.485,.206,.250,.448,.309,.528,.964,.042,13,.421,.360,1,0,,poseyja01,,,,,,,,,,,,,,,
2005-06,29,MIA,NBA,SF,67,63,1914,.403,19.7,.266,.147,.028,.028,.063,.734,.400,.586,.273,.091,.160,.403,.500,.983,.023,8,.400,.448,0,0,DPOY-13,poseyja01,,,,,,,,,,,,,,,
2006-07,30,MIA,NBA,SF,71,19,1919,.431,16.8,.400,.280,.032,.021,.067,.600,.514,.636,.286,.111,.241,.375,.517,.918,.042,18,.305,.405,0,0,,poseyja01,,,,,,,,,,,,,,,
2007-08,31,BOS,NBA,PF,74,2,1821,.418,18.3,.326,.234,.027,.012,.053,.674,.496,.598,.364,.200,.182,.380,.731,.915,.029,12,.287,.313,1,0,6MOY-8,poseyja01,,,,,,,,,,,,,,,
2008-09,32,NOH,NBA,SG,75,0,2140,.412,17.3,.401,.216,.080,.050,.055,.599,.476,.540,.452,.385,.345,.369,.390,.931,.025,12,.347,.459,2,0,6MOY-16,poseyja01,,,,,,,,,,,,,,,
2009-10,33,NOH,NBA,SF,77,2,1731,.365,18.9,.299,.186,.041,.032,.041,.701,.437,.500,.357,.455,.214,.335,.489,.877,.006,0,.260,.333,1,0,,poseyja01,,,,,,,,,,,,,,,
2010-11,34,IND,NBA,SF,49,0,839,.336,23.0,.120,.054,.025,.012,.029,.880,.483,.692,.833,.000,.000,.316,.571,.985,.004,1,.217,.326,1,0,,poseyja01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,simshe01,,,,,,,,,,,,,,,
2012-13,22,NOH,NBA,C,2,0,5,.667,1.4,1.000,1.000,.000,.000,.000,.000,.667,.667,,,,,.000,,.000,0,,,0,0,,simshe01,,,,,,,,,,,,,,,
2013-14,23,2TM,NBA,C,46,25,875,.474,7.6,.996,.401,.266,.161,.168,.004,.476,.573,.425,.432,.370,.000,.592,,.036,10,.000,,0,0,,simshe01,,,,,,,,,,,,,,,
2013-14,23,CLE,NBA,C,20,0,168,.400,8.0,1.000,.378,.222,.178,.222,.000,.400,.529,.500,.125,.300,,.611,,.022,1,,,0,0,,simshe01,,,,,,,,,,,,,,,
2013-14,23,PHI,NBA,C,26,25,707,.489,7.2,.996,.406,.275,.157,.157,.004,.491,.581,.413,.500,.389,.000,.589,,.039,9,.000,,0,0,,simshe01,,,,,,,,,,,,,,,
2014-15,24,PHI,NBA,C,73,32,1399,.474,9.9,.956,.317,.179,.175,.285,.044,.488,.623,.411,.409,.434,.182,.709,1.000,.030,14,.227,.000,0,0,,simshe01,,,,,,,,,,,,,,,
2015-16,25,BRK,NBA,C,14,4,263,.429,7.8,1.000,.416,.195,.195,.182,.000,.429,.531,.400,.333,.357,,.879,,.039,3,,,0,0,,simshe01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,10-16,16-3P,3P,,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,,kawamyu01,,,,,,,,,Awards,,,,,,
2024-25,23,MEM,NBA,PG,22,0,93,.367,22.4,.233,.067,.000,.133,.033,.767,.571,.500,.500,1.000,.304,,.500,.429,.000,0,.130,.333,0,0,,kawamyu01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,3P,,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,,seabrde01,,,,,,,,,Awards,,,,,,
2022-23,22,NOP,NBA,SG,5,0,12,.400,5.6,1.000,.400,.600,.000,.000,.000,.400,1.000,.000,,,,.500,,.200,1,,,0,0,,seabrde01,,,,,,,,,,,,,,,
2023-24,23,NOP,NBA,SG,6,0,55,.308,7.9,.846,.385,.231,.231,.000,.154,.273,.400,.000,.333,.500,,.000,1.000,.000,0,.500,.000,0,0,,seabrde01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,scheiba01,,,,,,,,,,,,,,,
2024-25,24,BOS,NBA,SG,31,2,384,.355,21.3,.255,.073,.118,.018,.045,.745,.464,.625,.385,.000,.600,.317,.615,.885,.000,0,.280,.348,0,0,,scheiba01,,,,,,,,,,,,,,,
